date,game_id,home,away,competition,time,status,score,vote_home,vote_draw,vote_away,vote_count,pop_rank_home,pop_rank_away,pop_rank_diff,trend_home_w,trend_home_d,trend_home_l,trend_away_w,trend_away_d,trend_away_l,trend_win_rate_home,trend_win_rate_away,trend_win_rate_diff,venue,attendance,goals_home,goals_away,yellow_home,yellow_away,red_home,red_away,fifa_rank_home,fifa_rank_away,fifa_rank_diff
2026-06-06,4728969,Ciudad de Campana,Club Belgrano San Nicolás,Liga Federal,06-06-2026 00:00,live,85:84,14.3,14.3,71.4,7,0,0,,0,0,0,1,0,1,,0.5,,,,0,0,0,0,0,0,,,
2026-06-06,4728996,Gigantes San Francisco,Héroes de Moca,LNB,06-06-2026 00:00,live,122:90,62.5,4.2,33.3,24,0,0,,0,1,0,0,1,0,0.0,0.0,0.0,,,0,0,0,0,0,0,,,
2026-06-06,4555984,Houston Astros,Athletics,MLB,06-06-2026 00:10,live,5:1,61.3,0.1,38.6,788,340,171,-169,0,1,0,0,1,1,0.0,0.0,0.0,Daikin Park,,3,1,0,0,0,0,,,
2026-06-06,4555000,St. Louis Cardinals,Cincinnati Reds,MLB,06-06-2026 00:15,live,4:3,63.8,0.1,36.0,702,210,175,-35,1,0,0,0,1,0,1.0,0.0,1.0,Busch Stadium,,4,2,0,0,0,0,,,
2026-06-06,4555034,Texas Rangers,Cleveland Guardians,MLB,06-06-2026 00:15,live,3:2,27.9,0.1,72.0,833,218,207,-11,0,1,1,0,1,1,0.0,0.0,0.0,Globe Life Field,,2,2,0,0,0,0,,,
2026-06-06,4555119,Minnesota Twins,Kansas City Royals,MLB,06-06-2026 00:15,live,0:2,41.8,0.2,58.1,565,164,191,27,0,0,1,1,1,0,0.0,0.5,-0.5,Target Field,,0,2,0,0,0,0,,,
2026-06-06,4643886,Gimnasia y Tiro,Ferrocarril Midland,Primera Nacional,06-06-2026 00:30,live,0:0,33.2,27.7,39.1,737,38,23,-15,2,2,1,1,0,1,0.4,0.5,-0.1,,,0,0,0,0,0,0,,,
2026-06-06,4678360,Western Suburbs,Napier City Rovers,National League,06-06-2026 00:30,live,3:3,20.4,27.8,51.9,54,0,1,,1,2,1,1,1,0,0.25,0.5,-0.25,,,0,0,0,0,0,0,,,
2026-06-06,4697655,GEVP (W),Club Harrods (W),Superiores Primera (W),06-06-2026 00:30,live,2:1,50.0,16.7,33.3,6,0,0,,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,,,
2026-06-06,4697659,Lanus (W),Mupol Voley (W),Superiores Primera (W),06-06-2026 00:30,live,2:1,72.7,9.1,18.2,11,0,0,,1,1,0,1,0,1,0.5,0.5,0.0,,,0,0,0,0,0,0,,,
2026-06-06,4697660,Club Italiano (W),Nautico Hacoaj (W),Superiores Primera (W),06-06-2026 00:30,live,3:0,40.0,10.0,50.0,10,0,0,,1,1,1,0,0,0,0.3333,,,,,0,0,0,0,0,0,,,
2026-06-06,4697661,Defensores de Banfield (W),Universidad La Matanza (W),Superiores Primera (W),06-06-2026 00:30,live,3:0,57.1,14.3,28.6,7,0,0,,0,1,0,0,0,0,0.0,,,,,0,0,0,0,0,0,,,
2026-06-06,4697662,Estudiantil Porteno (W),Club Morón (W),Superiores Primera (W),06-06-2026 00:30,live,2:1,40.0,20.0,40.0,5,0,0,,1,0,1,1,0,0,0.5,1.0,-0.5,,,0,0,0,0,0,0,,,
2026-06-06,4700594,Huracán de San Justo (W),CA Independiente (W),Superiores Segunda (W),06-06-2026 00:30,live,1:2,33.3,33.3,33.3,3,0,0,,0,0,0,1,0,1,,0.5,,,,0,0,0,0,0,0,,,
2026-06-06,4700598,Nautico Zarate (W),General Lamadrid (W),Superiores Segunda (W),06-06-2026 00:30,live,1:2,50.0,12.5,37.5,8,0,0,,1,1,0,0,0,1,0.5,0.0,0.5,,,0,0,0,0,0,0,,,
2026-06-06,4728014,Atlético Puerto Varas,CD Español Osorno,LNB,06-06-2026 00:30,live,52:57,46.4,3.6,50.0,28,2,2,0,1,1,0,0,0,1,0.5,0.0,0.5,,,0,0,0,0,0,0,,,
2026-06-06,4728488,San Antonio Spurs,New York Knicks,NBA,06-06-2026 00:30,live,52:56,59.7,0.0,40.3,5036,1289,1354,65,0,1,1,1,1,1,0.0,0.3333,-0.3333,Frost Bank Center,,0,0,0,0,0,0,,,
2026-06-06,4728970,San Fernando,Regatas San Nicolas,Liga Federal,06-06-2026 00:30,live,49:65,33.3,16.7,50.0,6,0,0,,0,0,0,1,1,0,,0.5,,,,0,0,0,0,0,0,,,
2026-06-06,4728997,Reales De La Vega,Titanes Del Licey,LNB,06-06-2026 00:30,live,65:67,47.6,4.8,47.6,21,0,0,,1,0,0,0,0,1,1.0,0.0,1.0,,,0,0,0,0,0,0,,,
2026-06-06,4731751,Tigres de Quintana Roo,Conspiradores de Querétaro,LMB,06-06-2026 00:30,live,1:0,62.7,2.0,35.3,51,34,2,-32,1,1,1,1,1,0,0.3333,0.5,-0.1667,,,0,0,0,0,0,0,,,
2026-06-06,4556225,Colorado Rockies,Milwaukee Brewers,MLB,06-06-2026 00:40,live,3:1,20.9,0.1,79.1,1055,163,187,24,0,1,1,0,0,1,0.0,0.0,0.0,Coors Field,,3,1,0,0,0,0,,,
2026-06-06,4681858,Dunedin City Royals,Christchurch United Afc,National League,06-06-2026 00:45,live,0:0,23.1,23.1,53.8,39,0,1,,0,1,0,0,0,0,0.0,,,,,0,0,0,0,0,0,,,
2026-06-06,4729779,Ferro Carril Oeste,Nuestra Señora de Luján,Liga de Honor Oro,06-06-2026 00:45,live,20:19,50.0,25.0,25.0,4,0,0,,1,1,1,1,1,2,0.3333,0.25,0.0833,,,0,0,0,0,0,0,,,
2026-06-06,4732746,Basel V./Oliveira B.,Pearson K./Puttergill C.,Tyler,06-06-2026 00:45,upcoming,0:0,33.3,33.3,33.3,3,0,0,,2,1,,1,,,,,,,,0,0,0,0,0,0,,,
2026-06-06,4659265,Vancouver Whitecaps II,Portland Timbers II,MLS Next Pro,06-06-2026 01:00,live,0:0,23.9,26.8,49.3,138,6,10,4,0,0,0,1,0,1,,0.5,,,,0,0,0,0,0,0,,,
2026-06-06,4726282,Vietnam (W),Lebanon (W),AVC Women's Cup,06-06-2026 01:00,live,3:0,47.4,5.3,47.4,19,6,0,,0,0,0,,,,,,,,,0,0,0,0,0,0,,,
2026-06-06,4727945,Calgary Stampeders,Winnipeg Blue Bombers,CFL,06-06-2026 01:00,live,14:8,57.6,3.0,39.4,33,29,12,-17,1,0,1,0,0,1,0.5,0.0,0.5,,,0,0,0,0,0,0,,,
2026-06-06,4731778,Diablos Rojos del México,Olmecas de Tabasco,LMB,06-06-2026 01:00,live,0:0,77.4,0.8,21.8,124,34,14,-20,1,0,0,1,0,0,1.0,1.0,0.0,,,0,0,0,0,0,0,,,
2026-06-06,4731779,Guerreros de Oaxaca,El Águila de Veracruz,LMB,06-06-2026 01:00,live,0:1,85.7,1.6,12.7,63,16,16,0,0,0,0,1,1,0,,0.5,,,,0,0,0,0,0,0,,,
2026-06-06,4731891,Piratas de Campeche,Leones de Yucatán,LMB,06-06-2026 01:00,live,0:1,48.3,3.4,48.3,29,14,28,14,0,0,1,0,0,1,0.0,0.0,0.0,,,0,0,0,0,0,0,,,
2026-06-06,4732750,Panama (W),Jamaica (W),Friendly Women,06-06-2026 01:00,live,0:1,36.5,25.0,38.5,52,136,123,-13,1,1,1,1,1,1,0.3333,0.3333,0.0,,,0,0,0,0,0,0,,,
2026-06-06,4732758,Fuchs Z./Thayne W.,Harper P./Milavsky D.,Tyler,06-06-2026 01:14,upcoming,0:0,33.3,33.3,33.3,3,0,0,,1,0,0,1,0,,1.0,,,,,0,0,0,0,0,0,,,
2026-06-06,4728993,Salvadorenos,San Salvador BC,Liga Mayor,06-06-2026 01:15,live,9:4,44.4,11.1,44.4,9,0,0,,0,0,1,1,1,1,0.0,0.3333,-0.3333,,,0,0,0,0,0,0,,,
2026-06-06,4731893,Sultanes de Monterrey,Acereros de Monclova,LMB,06-06-2026 01:30,live,0:0,79.7,1.3,19.0,79,55,14,-41,1,1,0,0,0,1,0.5,0.0,0.5,,,0,0,0,0,0,0,,,
2026-06-06,4731894,Saraperos de Saltillo,Dorados de Chihuahua,LMB,06-06-2026 01:30,live,0:0,61.1,1.9,37.0,54,31,6,-25,0,0,0,1,1,0,,0.5,,,,0,0,0,0,0,0,,,
2026-06-06,4731896,Rieleros de Aguascalientes,Charros de Jalisco,LMB,06-06-2026 01:30,live,1:0,31.9,2.1,66.0,47,15,47,32,0,0,1,0,1,0,0.0,0.0,0.0,,,0,0,0,0,0,0,,,
2026-06-06,4731897,Algodoneros del Unión Laguna,Caliente de Durango,LMB,06-06-2026 01:30,live,1:0,45.2,3.2,51.6,31,20,7,-13,1,1,0,0,0,1,0.5,0.0,0.5,,,0,0,0,0,0,0,,,
2026-06-06,4555404,San Diego Padres,New York Mets,MLB,06-06-2026 01:40,live,0:1,63.1,0.1,36.8,924,226,262,36,0,0,0,1,0,0,,1.0,,Petco Park,,0,1,0,0,0,0,,,
2026-06-06,4591196,Arizona Diamondbacks,Washington Nationals,MLB,06-06-2026 01:40,live,0:2,59.1,0.1,40.8,877,192,179,-13,1,0,0,0,0,0,1.0,,,Chase Field,,0,1,0,0,0,0,,,
2026-06-06,4659697,Los Angeles Sparks,Dallas Wings,WNBA,06-06-2026 02:00,upcoming,,46.0,0.5,53.5,187,71,17,-54,0,0,1,1,1,1,0.0,0.3333,-0.3333,Crypto.com Arena,,0,0,0,0,0,0,,,
2026-06-06,4659699,Portland Fire,Phoenix Mercury,WNBA,06-06-2026 02:00,upcoming,,75.9,0.7,23.4,137,0,60,,0,1,0,1,0,0,0.0,1.0,-1.0,Moda Center,,0,0,0,0,0,0,,,
2026-06-06,4664884,Vancouver Fc,Atlético Ottawa,Canadian Premier League,06-06-2026 02:00,upcoming,,29.6,29.3,41.1,358,5,28,23,0,2,0,2,1,1,0.0,0.5,-0.5,,,0,0,0,0,0,0,,,
2026-06-06,4731601,Mts Arba,Escazu,Costa Rica Championship,06-06-2026 02:00,upcoming,,80.0,10.0,10.0,10,0,0,,1,1,1,1,0,1,0.3333,0.5,-0.1667,,,0,0,0,0,0,0,,,
2026-06-06,4730088,Astros De Jalisco,Angeles Cdmx,CIBACOPA,06-06-2026 02:00,upcoming,,56.5,4.3,39.1,23,5,0,,1,1,1,1,0,1,0.3333,0.5,-0.1667,,,0,0,0,0,0,0,,,
2026-06-06,4732759,El Salvador (W),Costa Rica (W),Friendly Women,06-06-2026 02:00,upcoming,,26.7,15.6,57.8,90,4,187,183,1,1,1,1,1,1,0.3333,0.3333,0.0,,,0,0,0,0,0,0,,,
2026-06-06,4555700,Los Angeles Dodgers,Los Angeles Angels,MLB,06-06-2026 02:10,upcoming,,83.4,0.1,16.6,1389,754,220,-534,0,1,1,1,0,0,0.0,1.0,-1.0,UNIQLO Field at Dodger Stadium,,0,0,0,0,0,0,,,
2026-06-06,4678359,Waterside Karori AFC,Island Bay United,National League,06-06-2026 02:30,upcoming,,22.9,22.9,54.3,35,0,0,,0,2,0,0,1,0,0.0,0.0,0.0,,,0,0,0,0,0,0,,,
2026-06-06,4731895,Bravos de León,Pericos de Puebla,LMB,06-06-2026 02:30,upcoming,,56.8,2.3,40.9,44,8,40,32,0,1,1,0,1,1,0.0,0.0,0.0,,,0,0,0,0,0,0,,,
2026-06-06,4731898,Toros de Tijuana,Tecos de los Dos Laredos,LMB,06-06-2026 02:35,upcoming,,88.5,1.3,10.3,78,20,6,-14,1,0,1,1,1,0,0.5,0.5,0.0,,,0,0,0,0,0,0,,,
2026-06-06,4681857,Ferrymead Bays Fc,Wanaka AFC,National League,06-06-2026 02:45,upcoming,,53.3,20.0,26.7,30,0,0,,1,2,1,0,0,1,0.25,0.0,0.25,,,0,0,0,0,0,0,,,
2026-06-06,4678352,East Coast Bays,Western Springs,National League,06-06-2026 03:00,upcoming,,42.3,15.4,42.3,26,0,1,,0,0,1,1,0,0,0.0,1.0,-1.0,,,0,0,0,0,0,0,,,
2026-06-06,4678353,Fencibles United,Tauranga City United Afc,National League,06-06-2026 03:00,upcoming,,70.0,15.0,15.0,20,0,0,,1,1,0,1,0,1,0.5,0.5,0.0,,,0,0,0,0,0,0,,,
2026-06-06,4678354,Eastern Suburbs,Melville United,National League,06-06-2026 03:00,upcoming,,58.6,13.8,27.6,29,4,0,,2,1,0,0,0,1,0.6667,0.0,0.6667,,,0,0,0,0,0,0,,,
2026-06-06,4678356,Auckland FC II,Birkenhead United,National League,06-06-2026 03:00,upcoming,,43.3,13.3,43.3,30,0,1,,1,0,0,1,1,1,1.0,0.3333,0.6667,,,0,0,0,0,0,0,,,
2026-06-06,4678357,Auckland City,Auckland United,National League,06-06-2026 03:00,upcoming,,70.9,17.7,11.4,79,1005,1,-1004,2,1,1,0,1,1,0.5,0.0,0.5,,,0,0,0,0,0,0,,,
2026-06-06,4678358,Upper Hutt City,Petone,National League,06-06-2026 03:00,upcoming,,45.0,20.0,35.0,20,0,0,,1,1,0,0,0,0,0.5,,,,,0,0,0,0,0,0,,,
2026-06-06,4681856,Selwyn United,Cashmere Technical,National League,06-06-2026 03:00,upcoming,,25.0,15.0,60.0,20,0,1,,0,1,0,1,1,1,0.0,0.3333,-0.3333,,,0,0,0,0,0,0,,,
2026-06-06,4678355,Bay Olympic,Manukau United,National League,06-06-2026 03:30,upcoming,,62.5,20.8,16.7,24,1,0,,0,0,0,0,1,0,,0.0,,,,0,0,0,0,0,0,,,
2026-06-06,4678351,Wellington Olympic,Miramar,National League,06-06-2026 03:45,upcoming,,44.1,26.5,29.4,34,2,1,-1,1,1,1,0,1,1,0.3333,0.0,0.3333,,,0,0,0,0,0,0,,,
2026-06-06,4638528,Whai Tauranga,Nelson Giants,NBL,06-06-2026 04:00,upcoming,,50.0,5.6,44.4,18,0,0,,1,0,0,1,0,0,1.0,1.0,0.0,,,0,0,0,0,0,0,,,
2026-06-06,4726283,Kazakhstan (W),Hong Kong (W),AVC Women's Cup,06-06-2026 04:00,upcoming,,66.7,16.7,16.7,6,15,1,-14,0,0,0,0,0,1,,0.0,,,,0,0,0,0,0,0,,,
2026-06-06,4626436,Yokohama Baystars,Fukuoka Hawks,NPB,06-06-2026 05:00,upcoming,,37.5,12.5,50.0,8,6,6,0,1,1,0,0,1,1,0.5,0.0,0.5,,,0,0,0,0,0,0,,,
2026-06-06,4626473,Hiroshima Toyo Carp,Orix Buffaloes,NPB,06-06-2026 05:00,upcoming,,14.3,14.3,71.4,7,11,5,-6,2,0,1,2,0,0,0.6667,1.0,-0.3333,,,0,0,0,0,0,0,,,
2026-06-06,4626767,Chunichi Dragons,Seibu Lions,NPB,06-06-2026 05:00,upcoming,,33.3,16.7,50.0,6,6,5,-1,1,0,0,0,1,1,1.0,0.0,1.0,,,0,0,0,0,0,0,,,
2026-06-06,4626771,Hanshin Tigers,Rakuten Gold Eagles,NPB,06-06-2026 05:00,upcoming,,40.0,20.0,40.0,5,14,6,-8,1,0,0,0,0,1,1.0,0.0,1.0,,,0,0,0,0,0,0,,,
2026-06-06,4626784,Yakult Swallows,Nippon Ham Fighters,NPB,06-06-2026 05:00,upcoming,,50.0,16.7,33.3,6,8,11,3,0,0,1,1,1,0,0.0,0.5,-0.5,,,0,0,0,0,0,0,,,
2026-06-06,4667053,Pocheon FC,Busan Transportation,K League 3,06-06-2026 05:00,upcoming,,75.0,8.3,16.7,12,3,2,-1,1,1,2,1,0,2,0.25,0.3333,-0.0833,,,0,0,0,0,0,0,,,
2026-06-06,4726521,JEF United Chiba,Fukuoka,J1 League,06-06-2026 05:00,upcoming,,53.4,23.1,23.5,251,11,22,11,2,0,0,2,0,4,1.0,0.3333,0.6667,,,0,0,0,0,0,0,,,
2026-06-06,4726699,Kashima Antlers,Vissel Kobe,J1 League,06-06-2026 05:00,upcoming,,48.2,12.9,38.9,519,269,261,-8,0,1,1,1,1,4,0.0,0.1667,-0.1667,,,0,0,0,0,0,0,,,
2026-06-06,4726700,FC Tokyo,Cerezo Osaka,J1 League,06-06-2026 05:00,upcoming,,54.0,19.6,26.4,265,99,141,42,2,0,3,2,1,1,0.4,0.5,-0.1,,,0,0,0,0,0,0,,,
2026-06-06,4728502,Tegevajaro Miyazaki,Kofu,J2 League,06-06-2026 05:00,upcoming,,48.1,28.8,23.1,52,0,115,,0,4,1,0,4,3,0.0,0.0,0.0,,,0,0,0,0,0,0,,,
2026-06-06,4728503,Vegalta Sendai,Toyama,J2 League,06-06-2026 05:00,upcoming,,53.3,20.0,26.7,45,39,3,-36,1,0,1,1,0,4,0.5,0.2,0.3,,,0,0,0,0,0,0,,,
2026-06-06,4728504,RB Omiya Ardija,Kochi,J2 League,06-06-2026 05:00,upcoming,,66.7,15.2,18.2,33,18,0,,0,1,0,4,0,0,0.0,1.0,-1.0,,,0,0,0,0,0,0,,,
2026-06-06,4728505,SC Sagamihara,Kumamoto,J2 League,06-06-2026 05:00,upcoming,,52.4,19.0,28.6,21,2,7,5,3,0,4,1,3,0,0.4286,0.25,0.1786,,,0,0,0,0,0,0,,,
2026-06-06,4728506,Yokohama FC,Renofa Yamaguchi,J2 League,06-06-2026 05:00,upcoming,,65.9,13.6,20.5,44,23,7,-16,1,1,1,3,4,3,0.3333,0.3,0.0333,,,0,0,0,0,0,0,,,
2026-06-06,4728507,Tochigi City,Reilac Shiga,J2 League,06-06-2026 05:00,upcoming,,57.1,21.4,21.4,14,1,0,,3,0,1,3,3,1,0.75,0.4286,0.3214,,,0,0,0,0,0,0,,,
2026-06-06,4728739,Matsumoto Yamaga,Nara Club,J2 League,06-06-2026 05:00,upcoming,,52.2,13.0,34.8,23,10,1,-9,3,4,3,3,1,0,0.3,0.75,-0.45,,,0,0,0,0,0,0,,,
2026-06-06,4728740,Fujieda MYFC,Ehime FC,J2 League,06-06-2026 05:00,upcoming,,60.0,13.3,26.7,15,3,7,4,4,4,1,0,0,1,0.4444,0.0,0.4444,,,0,0,0,0,0,0,,,
2026-06-06,4728741,Niigata,Consadole Sapporo,J2 League,06-06-2026 05:00,upcoming,,66.7,16.7,16.7,36,23,22,-1,4,1,1,4,0,1,0.6667,0.8,-0.1333,,,0,0,0,0,0,0,,,
2026-06-06,4732761,SSG Landers,Kt Wiz Suwon,KBO,06-06-2026 05:00,upcoming,,25.0,25.0,50.0,4,3,2,-1,1,1,1,0,0,1,0.3333,0.0,0.3333,,,0,0,0,0,0,0,,,
2026-06-06,4732766,Canterbury Red Devils,West Auckland Admirals,NZIHL,06-06-2026 05:10,upcoming,,33.3,33.3,33.3,3,0,0,,1,0,0,0,0,0,1.0,,,,,0,0,0,0,0,0,,,
2026-06-06,4726522,Mito Hollyhock,V-Varen Nagasaki,J1 League,06-06-2026 06:00,upcoming,,46.6,18.3,35.1,131,11,12,1,0,0,0,1,0,3,,0.25,,,,0,0,0,0,0,0,,,
2026-06-06,4726704,Machida Zelvia,Nagoya Grampus,J1 League,06-06-2026 06:00,upcoming,,67.3,16.3,16.3,263,45,77,32,2,1,4,2,0,0,0.2857,1.0,-0.7143,,,0,0,0,0,0,0,,,
2026-06-06,4728737,FC Gifu,Gainare Tottori,J2 League,06-06-2026 06:00,upcoming,,36.0,12.0,52.0,25,7,3,-4,1,0,4,1,3,1,0.2,0.2,0.0,,,0,0,0,0,0,0,,,
2026-06-06,4726279,Brisbane Lightning,Central Coast Rhinos,AIHL,06-06-2026 06:45,upcoming,,50.0,8.3,41.7,12,0,0,,0,1,0,0,0,0,0.0,,,,,0,0,0,0,0,0,,,
2026-06-06,4694861,Japan (W),South Africa (W),Friendly Women,06-06-2026 06:50,upcoming,,67.0,9.7,23.3,103,241,185,-56,0,1,0,1,1,1,0.0,0.3333,-0.3333,,,0,0,0,0,0,0,,,
2026-06-06,4667052,Jeonbuk Motors II,Gyeongju H&N,K League 3,06-06-2026 07:00,upcoming,,20.0,20.0,60.0,5,0,2,,0,0,0,2,2,1,,0.4,,,,0,0,0,0,0,0,,,
2026-06-06,4668026,Dangjin Citizen,Changwon City,K League 3,06-06-2026 07:00,upcoming,,16.7,33.3,50.0,6,0,3,,1,0,0,1,1,2,1.0,0.25,0.75,,,0,0,0,0,0,0,,,
2026-06-06,4668246,Thailand (W),Belgium (W),Volleyball Nations League (W),06-06-2026 07:00,upcoming,,36.4,2.3,61.4,44,33,47,14,0,0,0,0,0,0,,,,Nanjing Olympic Sports Center Gymnasium,,0,0,0,0,0,0,,,
2026-06-06,4687983,Newcastle North Stars,Sydney Bears,AIHL,06-06-2026 07:00,upcoming,,28.6,14.3,57.1,7,5,1,-4,0,1,1,0,1,0,0.0,0.0,0.0,,,0,0,0,0,0,0,,,
2026-06-06,4726278,Canberra Brave,Melbourne Mustangs,AIHL,06-06-2026 07:00,upcoming,,50.0,16.7,33.3,6,1,5,4,1,1,0,1,1,1,0.5,0.3333,0.1667,,,0,0,0,0,0,0,,,
2026-06-06,4726280,Sydney Ice Dogs,Melbourne Ice,AIHL,06-06-2026 07:00,upcoming,,57.1,14.3,28.6,7,6,5,-1,1,1,1,1,0,0,0.3333,1.0,-0.6667,,,0,0,0,0,0,0,,,
2026-06-06,4726286,Philippines (W),Uzbekistan (W),AVC Women's Cup,06-06-2026 07:00,upcoming,,66.7,16.7,16.7,6,1,0,,0,1,1,,,,0.0,,,,,0,0,0,0,0,0,,,
2026-06-06,4726661,Tokyo Verdy,Gamba Osaka,J1 League,06-06-2026 07:00,upcoming,,27.6,18.0,54.4,217,17,126,109,2,0,1,2,1,1,0.6667,0.5,0.1667,,,0,0,0,0,0,0,,,
2026-06-06,4726662,Urawa Red Diamonds,Okayama,J1 League,06-06-2026 07:00,upcoming,,71.3,13.8,14.9,195,840,10,-830,2,0,4,2,0,1,0.3333,0.6667,-0.3333,,,0,0,0,0,0,0,,,
2026-06-06,4728742,Jubilo Iwata,Fc Osaka,J2 League,06-06-2026 07:00,upcoming,,61.9,14.3,23.8,21,22,2,-20,4,1,0,4,3,4,0.8,0.3636,0.4364,,,0,0,0,0,0,0,,,
