date,game_id,home,away,competition,time,status,score,vote_home,vote_draw,vote_away,vote_count,pop_rank_home,pop_rank_away,pop_rank_diff,trend_home_w,trend_home_d,trend_home_l,trend_away_w,trend_away_d,trend_away_l,trend_win_rate_home,trend_win_rate_away,trend_win_rate_diff,venue,attendance,goals_home,goals_away,yellow_home,yellow_away,red_home,red_away,fifa_rank_home,fifa_rank_away,fifa_rank_diff
2026-06-06,4656668,San Luis de Quillota,San Marcos,First Division B,06-06-2026 00:00,finished,1:0,38.4,25.1,36.5,718,204,203,-1,1,2,1,0,0,1,0.25,0.0,0.25,,,0,0,0,0,0,0,,,
2026-06-06,4681859,Nomads United,Northern AFC,National League,06-06-2026 00:00,finished,2:0,66.7,16.7,16.7,66,0,0,,1,1,2,0,0,1,0.25,0.0,0.25,,,0,0,0,0,0,0,,,
2026-06-06,4691647,Indios De Mayaguez,Gigantes De Carolina,BSN,06-06-2026 00:00,finished,86:91,19.4,3.2,77.4,31,0,0,,0,1,0,1,1,1,0.0,0.3333,-0.3333,,,0,0,0,0,0,0,,,
2026-06-06,4705487,Deportes Concepcion,Coquimbo Unido,Copa de la Liga,06-06-2026 00:00,finished,1:2,28.0,15.0,57.1,1642,90,359,269,0,0,1,1,1,0,0.0,0.5,-0.5,,,0,0,0,0,0,0,,,
2026-06-06,4714665,Haiti,Peru,Friendly International,06-06-2026 00:00,finished,1:2,38.9,13.3,47.8,10340,742,5456,4714,0,1,2,1,2,0,0.0,0.3333,-0.3333,Nu Stadium,26700,1,2,1,4,0,0,,,
2026-06-06,4728966,Club Social Y Deportivo Pinocho,San Miguel,Liga Federal,06-06-2026 00:00,finished,85:61,14.3,14.3,71.4,7,0,0,,1,0,1,0,1,0,0.5,0.0,0.5,,,0,0,0,0,0,0,,,
2026-06-06,4728967,Ca Estudiantil Porteño,Los Indios De Moreno,Liga Federal,06-06-2026 00:00,finished,,40.0,20.0,40.0,5,0,0,,0,0,1,1,0,0,0.0,1.0,-1.0,,,0,0,0,0,0,0,,,
2026-06-06,4728968,Banda Norte,Club Matienzo,Liga Federal,06-06-2026 00:00,finished,,33.3,16.7,50.0,6,0,0,,0,0,0,0,0,1,,0.0,,,,0,0,0,0,0,0,,,
2026-06-06,4697656,Glorias Argentinas (W),GEBA (W),Superiores Primera (W),06-06-2026 00:30,finished,3:0,42.9,14.3,42.9,7,0,0,,1,1,1,1,1,0,0.3333,0.5,-0.1667,,,0,0,0,0,0,0,,,
2026-06-06,4697658,Ciudad De Buenos Aires (W),Universitario De La Plata (W),Superiores Primera (W),06-06-2026 00:30,finished,,75.0,12.5,12.5,8,0,0,,0,1,1,0,1,1,0.0,0.0,0.0,,,0,0,0,0,0,0,,,
2026-06-06,4700593,Pinocho (W),Banco de la Nación Argentina (W),Superiores Segunda (W),06-06-2026 00:30,finished,3:0,33.3,16.7,50.0,6,0,0,,0,1,0,0,1,0,0.0,0.0,0.0,,,0,0,0,0,0,0,,,
2026-06-06,4700595,Centro Cultural Tortuguitas (W),Club Comunicaciones (W),Superiores Segunda (W),06-06-2026 00:30,finished,3:0,50.0,12.5,37.5,8,0,0,,0,0,0,1,0,0,,1.0,,,,0,0,0,0,0,0,,,
2026-06-06,4700596,Lomas Voley (W),Centro Municipal 3 de Febrero (W),Superiores Segunda (W),06-06-2026 00:30,finished,0:3,50.0,16.7,33.3,6,0,0,,0,1,1,1,1,1,0.0,0.3333,-0.3333,,,0,0,0,0,0,0,,,
2026-06-06,4700597,Circulo General Urquiza (W),UBA Voley (W),Superiores Segunda (W),06-06-2026 00:30,finished,0:3,60.0,20.0,20.0,5,0,0,,1,1,0,1,1,1,0.5,0.3333,0.1667,,,0,0,0,0,0,0,,,
2026-06-06,4711592,Puerto Rico (W),Costa Rica (W),NORCECA Final Four (W),06-06-2026 00:55,finished,,66.7,11.1,22.2,9,30,3,-27,0,0,0,1,0,0,,1.0,,,,0,0,0,0,0,0,,,
2026-06-06,4662052,Grotta,Grindavik,Inkasso Deildin,06-06-2026 14:00,finished,,50.0,33.3,16.7,6,7,8,1,1,1,1,0,0,2,0.3333,0.0,0.3333,,,0,0,0,0,0,0,,,
2026-06-06,4727194,Palestine,Kenya,Friendly International,06-06-2026 14:30,finished,,85.1,6.7,8.2,645,1880,618,-1262,4,2,2,2,1,4,0.5,0.2857,0.2143,Stadion im. Dolena Omurzakova,,0,0,0,0,0,0,,,
2026-06-06,4659261,Inter Miami II,New York City II,MLS Next Pro,06-06-2026 21:00,finished,,79.3,13.8,6.9,29,33,3,-30,0,0,0,0,1,1,,0.0,,,,0,0,0,0,0,0,,,
2026-06-06,4696341,Nacional Potosi,Club Aurora,División Profesional,06-06-2026 21:15,finished,,55.6,14.3,30.1,259,697,307,-390,0,2,0,1,1,2,0.0,0.25,-0.25,,,0,0,0,0,0,0,,,
2026-06-06,4696338,Real Oruro,Universitario de Vinto,División Profesional,06-06-2026 23:30,finished,,57.0,15.1,27.9,86,18,97,79,2,1,0,0,1,1,0.6667,0.0,0.6667,,,0,0,0,0,0,0,,,
2026-06-06,4668216,France (W),USA (W),Volleyball Nations League (W),06-06-2026 00:00,live,1:2,35.5,0.7,63.8,152,32,64,32,0,0,0,0,1,1,,0.0,,Videotron Centre,,0,0,0,0,0,0,,,
2026-06-06,4691646,San German,Pirates De Quebradillas,BSN,06-06-2026 00:00,live,91:82,50.0,3.3,46.7,30,0,1,,1,0,0,1,1,1,1.0,0.3333,0.6667,,,0,0,0,0,0,0,,,
2026-06-06,4705659,River Plate,Ciudad Vóley,Division de Honor,06-06-2026 00:00,live,2:2,52.6,5.3,42.1,19,27,20,-7,1,1,0,1,1,0,0.5,0.5,0.0,,,0,0,0,0,0,0,,,
