date,game_id,home,away,competition,time,status,score,vote_home,vote_draw,vote_away,vote_count,pop_rank_home,pop_rank_away,pop_rank_diff,fifa_rank_home,fifa_rank_away,fifa_rank_diff,trend_home_w,trend_home_d,trend_home_l,trend_away_w,trend_away_d,trend_away_l,trend_win_rate_home,trend_win_rate_away,trend_win_rate_diff,venue,attendance,goals_home,goals_away,yellow_home,yellow_away,red_home,red_away,has_lineups,lineups_status_text,has_doubtful,has_missing_players,has_statistics,has_news,has_buzz,social_comments,score_ht,winner
2026-06-26,4627870,Paraguay,Australia,FIFA World Cup,26-06-2026 02:00,live,0:0,47.7,16.0,36.3,53616,4061,4799,738,37,25,-12,1,0,1,0,1,2,0.5,0.0,0.5,Levi's Stadium (Santa Clara),,0,0,0,0,0,0,True,Lineups,False,True,True,True,True,0,,draw
2026-06-26,4697704,Turkiye,USA,FIFA World Cup,26-06-2026 02:00,live,0:0,29.7,11.0,59.3,54978,4615,4342,-273,32,14,-18,0,0,1,1,1,0,0.0,0.5,-0.5,SoFi Stadium (Los Angeles),,0,0,0,0,0,0,True,Lineups,False,True,True,True,True,0,,draw
2026-06-26,4703514,Negele Arsi Ketema,Ethiopia Nigd Bank,Premier League,26-06-2026 10:00,upcoming,,41.7,12.5,45.8,24,0,26,,,,,2,1,2,2,0,2,0.4,0.5,-0.1,,,0,0,0,0,0,0,False,,False,False,False,False,False,0,,draw
2026-06-26,4673364,Qingdao Hainiu,Yunnan Yukun,Super League,26-06-2026 11:35,upcoming,,28.4,24.8,46.8,141,14,3,-11,,,,3,0,0,1,2,0,1.0,0.3333,0.6667,Qingdao Youth Football Stadium,,0,0,0,0,0,0,False,,False,False,False,False,False,0,,draw
2026-06-26,4703513,Kedus Giorgis,Fasil Ketema,Premier League,26-06-2026 12:00,upcoming,,48.4,29.0,22.6,31,168,77,-91,,,,1,1,1,1,1,0,0.3333,0.5,-0.1667,,,0,0,0,0,0,0,False,,False,False,False,False,False,0,,draw
2026-06-26,4703512,Ethiopia Bunna,Mekelle Kenema,Premier League,26-06-2026 13:00,upcoming,,65.0,15.0,20.0,20,51,51,0,,,,2,0,0,2,2,2,1.0,0.3333,0.6667,,,0,0,0,0,0,0,False,,False,False,False,False,False,0,,draw
2026-06-26,4713137,Agua Santa/Sp Youth,Flamengo/Sp Youth,Paulista U20,26-06-2026 13:00,upcoming,,38.5,30.8,30.8,26,51,82,31,,,,2,1,1,0,0,1,0.5,0.0,0.5,,,0,0,0,0,0,0,False,,False,False,False,False,False,0,,draw
2026-06-26,4730726,Skuri Tsalenjikha,Dinamo Tbilisi 2,David Kipiani Cup,26-06-2026 13:00,upcoming,,47.1,23.5,29.4,17,0,1,,,,,0,1,,0,0,0,,,,,,0,0,0,0,0,0,False,,False,False,False,False,False,0,,draw
2026-06-26,4730728,Samtskhe,Didube,David Kipiani Cup,26-06-2026 13:00,upcoming,,50.0,33.3,16.7,12,0,0,,,,,1,0,1,4,1,,0.5,,,,,0,0,0,0,0,0,False,,False,False,False,False,False,0,,draw
2026-06-26,4730729,Mertskhali,Gori,David Kipiani Cup,26-06-2026 13:00,upcoming,,42.9,14.3,42.9,7,0,0,,,,,0,,,1,2,0,,0.3333,,,,0,0,0,0,0,0,False,,False,False,False,False,False,0,,draw
2026-06-26,4730730,Guria Lanchkhuti,Merani Tbilisi,David Kipiani Cup,26-06-2026 13:00,upcoming,,46.2,42.3,11.5,26,1,0,,,,,,,,1,0,0,,1.0,,,,0,0,0,0,0,0,False,,False,False,False,False,False,0,,draw
2026-06-26,4730731,Torpedo Kutaisi Ii,Margveti,David Kipiani Cup,26-06-2026 13:00,upcoming,,40.0,40.0,20.0,5,0,0,,,,,1,4,,0,,,,,,,,0,0,0,0,0,0,False,,False,False,False,False,False,0,,draw
2026-06-26,4730732,Merani Martvili Ii,FC Iberia 1999 II,David Kipiani Cup,26-06-2026 13:00,upcoming,,36.4,36.4,27.3,11,0,0,,,,,,,,0,0,1,,0.0,,,,0,0,0,0,0,0,False,,False,False,False,False,False,0,,draw
2026-06-26,4735968,Hilal Hudaydah,Al Yarmok,Yemeni League,26-06-2026 13:00,upcoming,,44.9,18.0,37.1,89,20,17,-3,,,,0,0,0,0,1,2,,0.0,,,,0,0,0,0,0,0,False,,False,False,False,False,False,0,,draw
2026-06-26,4735969,Al Tadamun Hadramaut,Mukallah FC,Yemeni League,26-06-2026 13:00,upcoming,,58.4,10.6,31.1,161,11,1,-10,,,,1,1,0,1,1,1,0.5,0.3333,0.1667,,,0,0,0,0,0,0,False,,False,False,False,False,False,0,,draw
2026-06-26,4740254,Gagra-2,Odishi 1919,David Kipiani Cup,26-06-2026 13:00,upcoming,,55.6,22.2,22.2,9,0,0,,,,,0,1,,1,0,2,,0.3333,,,,0,0,0,0,0,0,False,,False,False,False,False,False,0,,draw
2026-06-26,4746257,Atlético Colegiales,Olimpia De Itá,APF Primera B,26-06-2026 13:00,upcoming,,26.1,34.8,39.1,23,4,15,11,,,,1,2,1,0,2,2,0.25,0.0,0.25,,,0,0,0,0,0,0,False,,False,False,False,False,False,0,,draw
2026-06-26,4678898,CSKA Pomir,Fk Khosilot Farkhor,Vysshaya Liga,26-06-2026 14:00,upcoming,,32.3,19.4,48.4,31,17,0,,,,,0,0,1,1,1,2,0.0,0.25,-0.25,,,0,0,0,0,0,0,False,,False,False,False,False,False,0,,draw
