date,game_id,home,away,competition,time,status,score,vote_home,vote_draw,vote_away,vote_count,pop_rank_home,pop_rank_away,pop_rank_diff,trend_home_w,trend_home_d,trend_home_l,trend_away_w,trend_away_d,trend_away_l,trend_win_rate_home,trend_win_rate_away,trend_win_rate_diff,venue,attendance,goals_home,goals_away,yellow_home,yellow_away,red_home,red_away,fifa_rank_home,fifa_rank_away,fifa_rank_diff
2026-06-05,4659696,Minnesota Lynx,Golden State Valkyries,WNBA,05-06-2026 01:00,finished,87:84,77.8,0.4,21.8,252,63,4,-59,1,1,1,0,1,0,0.3333,0.0,0.3333,Target Center,9105,0,0,0,0,0,0,,,
2026-06-05,4729031,Diablos Rojos del México,Bravos de León,LMB,05-06-2026 01:00,finished,18:12,77.5,0.5,22.1,204,34,8,-26,1,0,0,0,1,1,1.0,0.0,1.0,,,0,0,0,0,0,0,,,
2026-06-05,4729037,Caliente de Durango,Dorados de Chihuahua,LMB,05-06-2026 01:10,finished,3:4,77.6,1.0,21.4,98,7,6,-1,0,0,1,1,1,0,0.0,0.5,-0.5,,,0,0,0,0,0,0,,,
2026-06-05,4728992,Santa Tecla IMDELS,Cojute,Liga Mayor,05-06-2026 01:15,finished,103:86,41.2,5.9,52.9,17,0,0,,1,1,0,0,1,1,0.5,0.0,0.5,,,0,0,0,0,0,0,,,
2026-06-05,4729044,Leones de Yucatán,Conspiradores de Querétaro,LMB,05-06-2026 01:30,finished,4:7,62.3,1.6,36.1,61,28,2,-26,0,0,1,1,1,0,0.0,0.5,-0.5,,,0,0,0,0,0,0,,,
2026-06-05,4729047,Saraperos de Saltillo,Sultanes de Monterrey,LMB,05-06-2026 01:30,finished,,25.7,0.9,73.5,113,31,55,24,0,0,0,1,1,0,,0.5,,,,0,0,0,0,0,0,,,
2026-06-05,4556253,Arizona Diamondbacks,Los Angeles Dodgers,MLB,05-06-2026 01:40,finished,3:2,18.9,0.1,81.1,1791,192,754,562,1,0,0,0,1,1,1.0,0.0,1.0,Chase Field,,3,2,0,0,0,0,,,
2026-06-05,4674734,Mexico,Serbia,Friendly International,05-06-2026 02:00,finished,5:1,66.9,12.2,20.9,14148,8158,3746,-4412,1,1,1,0,0,1,0.3333,0.0,0.3333,Estadio Nemesio Díez,,5,1,2,2,0,0,,,
2026-06-05,4731347,Olmecas de Tabasco,Pericos de Puebla,LMB,05-06-2026 02:30,finished,5:2,33.3,33.3,33.3,3,14,40,26,1,0,0,0,1,1,1.0,0.0,1.0,,,0,0,0,0,0,0,,,
2026-06-05,4729068,Toros de Tijuana,Charros de Jalisco,LMB,05-06-2026 02:35,finished,5:4,63.1,0.8,36.1,122,20,47,27,1,0,1,0,1,0,0.5,0.0,0.5,,,0,0,0,0,0,0,,,
2026-06-05,4668252,Belgium (W),Czechia (W),Volleyball Nations League (W),05-06-2026 07:00,finished,0:3,67.9,0.9,31.1,106,47,31,-16,0,0,0,1,0,1,,0.5,,Nanjing Olympic Sports Center Gymnasium,,0,0,0,0,0,0,,,
2026-06-05,4731340,Southern Stampede,Botany Swarm,NZIHL,05-06-2026 07:00,finished,10:2,63.6,9.1,27.3,11,0,0,,1,1,1,0,0,1,0.3333,0.0,0.3333,,,0,0,0,0,0,0,,,
2026-06-05,4638527,Otago Nuggets,Franklin Bulls,NBL,05-06-2026 07:30,finished,93:94,58.7,1.3,40.0,75,0,0,,0,0,1,1,0,1,0.0,0.5,-0.5,,,0,0,0,0,0,0,,,
2026-06-05,4731597,Melbourne Storm,Newcastle Knights,NRL,05-06-2026 08:00,finished,32:30,33.3,33.3,33.3,3,14,5,-9,1,,,0,,,,,,,,0,0,0,0,0,0,,,
2026-06-05,4730086,Arda Azkara,Khololwam Montsi,Centurion,05-06-2026 08:10,finished,0:2,69.2,3.8,26.9,26,0,0,,0,1,1,1,1,1,0.0,0.3333,-0.3333,,,0,0,0,0,0,0,,,
2026-06-05,4731244,Alexander Donski,Tuncay Duran,Centurion,05-06-2026 08:14,finished,2:1,66.7,4.8,28.6,21,0,0,,1,1,1,0,1,1,0.3333,0.0,0.3333,,,0,0,0,0,0,0,,,
2026-06-05,4626743,Yokohama Baystars,Fukuoka Hawks,NPB,05-06-2026 09:00,finished,8:3,25.5,2.0,72.5,51,6,6,0,1,1,0,0,1,1,0.5,0.0,0.5,,,0,0,0,0,0,0,,,
2026-06-05,4626747,Yakult Swallows,Nippon Ham Fighters,NPB,05-06-2026 09:00,finished,1:3,51.4,2.7,45.9,37,8,11,3,0,0,1,1,1,0,0.0,0.5,-0.5,,,0,0,0,0,0,0,,,
2026-06-05,4626750,Yomiuri Giants,Chiba Lotte Marines,NPB,05-06-2026 09:00,finished,8:2,59.0,2.6,38.5,39,14,5,-9,1,1,1,0,1,0,0.3333,0.0,0.3333,,,0,0,0,0,0,0,,,
2026-06-05,4626759,Chunichi Dragons,Seibu Lions,NPB,05-06-2026 09:00,finished,1:0,37.9,3.4,58.6,29,6,5,-1,1,0,0,0,1,1,1.0,0.0,1.0,,,0,0,0,0,0,0,,,
2026-06-05,4626809,Hiroshima Toyo Carp,Orix Buffaloes,NPB,05-06-2026 09:00,finished,2:2,38.9,2.8,58.3,36,11,5,-6,2,0,1,2,0,0,0.6667,1.0,-0.3333,,,0,0,0,0,0,0,,,
2026-06-05,4627044,Hanshin Tigers,Rakuten Gold Eagles,NPB,05-06-2026 09:00,finished,8:1,66.7,2.6,30.8,39,14,6,-8,1,0,0,0,0,1,1.0,0.0,1.0,,,0,0,0,0,0,0,,,
2026-06-05,4731335,NC Dinos,LG Twins,KBO,05-06-2026 09:30,finished,4:5,37.9,1.5,60.6,66,11,12,1,0,1,1,1,1,0,0.0,0.5,-0.5,,,0,0,0,0,0,0,,,
2026-06-05,4731336,Doosan Bears,Kiwoom Heroes,KBO,05-06-2026 09:30,finished,4:3,66.7,1.8,31.6,57,3,10,7,1,1,2,0,0,0,0.25,,,,,0,0,0,0,0,0,,,
2026-06-05,4731337,KIA Tigers,Samsung Lions,KBO,05-06-2026 09:30,finished,5:2,56.4,1.8,41.8,55,4,12,8,1,1,0,0,0,0,0.5,,,,,0,0,0,0,0,0,,,
2026-06-05,4731338,SSG Landers,Kt Wiz Suwon,KBO,05-06-2026 09:30,finished,6:5,41.8,1.8,56.4,55,3,2,-1,1,1,1,0,0,1,0.3333,0.0,0.3333,,,0,0,0,0,0,0,,,
2026-06-05,4731339,Lotte Giants,Hanwha Eagles,KBO,05-06-2026 09:30,finished,2:9,9.1,1.5,89.4,66,3,11,8,0,0,1,1,0,2,0.0,0.3333,-0.3333,,,0,0,0,0,0,0,,,
2026-06-05,4731292,Taylah Preston,Ashlyn Krueger,Birmingham,05-06-2026 09:38,finished,1:2,19.0,1.6,79.4,63,0,1,,0,1,0,1,1,1,0.0,0.3333,-0.3333,,,0,0,0,0,0,0,,,
2026-06-05,4730129,Sho Shimabukuro,Kamil Majchrzak,Birmingham,05-06-2026 09:38,finished,0:2,30.5,1.1,68.4,95,1,2,1,0,1,1,1,1,1,0.0,0.3333,-0.3333,,,0,0,0,0,0,0,,,
2026-06-05,4731294,Giles Hussey,Philip Henning,Centurion,05-06-2026 09:38,finished,0:2,47.4,5.3,47.4,19,0,0,,0,1,1,1,1,1,0.0,0.3333,-0.3333,,,0,0,0,0,0,0,,,
2026-06-05,4730694,Filippo Romano,Otto Virtanen,Birmingham,05-06-2026 09:41,finished,0:2,27.7,2.1,70.2,47,0,1,,0,1,1,1,1,1,0.0,0.3333,-0.3333,,,0,0,0,0,0,0,,,
2026-06-05,4728738,Kamatamare Sanuki,Nagano Parceiro,J2 League,05-06-2026 10:00,finished,0:0,51.6,26.2,22.1,244,4,2,-2,4,1,4,3,3,3,0.4444,0.3333,0.1111,,,0,0,0,0,0,0,,,
2026-06-05,4731600,Canberra Raiders,Sydney Roosters,NRL,05-06-2026 10:00,finished,0:26,33.3,33.3,33.3,3,12,11,-1,0,,,1,,,,,,,,0,0,0,0,0,0,,,
2026-06-05,4729894,M. Granollers/ H. Zeballos,Bolelli S./Vavassori A.,Roland Garros - Doubles (M),05-06-2026 10:00,finished,2:0,48.6,0.6,50.9,175,1,0,,1,1,1,0,1,1,0.3333,0.0,0.3333,Court Simonne Mathieu,,0,0,0,0,0,0,,,
2026-06-05,4731246,Alex Molcan,Vitaliy Sachko,Prostejov,05-06-2026 10:09,finished,2:1,77.8,2.2,20.0,45,2,0,,1,1,1,0,1,1,0.3333,0.0,0.3333,,,0,0,0,0,0,0,,,
2026-06-05,4730081,Alejandro Moro Canas,Henri Squire,Bad Rappenau,05-06-2026 10:12,finished,0:2,67.2,1.6,31.2,64,0,0,,0,1,1,1,1,1,0.0,0.3333,-0.3333,,,0,0,0,0,0,0,,,
2026-06-05,4655837,Busan I'Park,Asan Mugunghwa FC,K League 2,05-06-2026 10:30,finished,2:2,68.9,20.6,10.5,296,18,4,-14,2,1,0,2,1,2,0.6667,0.4,0.2667,,,0,0,0,0,0,0,,,
2026-06-05,4661221,Seongnam Ilhwa,Gimhae City,K League 2,05-06-2026 10:30,finished,1:1,64.5,24.9,10.6,245,42,2,-40,2,2,0,2,0,1,0.5,0.6667,-0.1667,,,0,0,0,0,0,0,,,
2026-06-05,4730800,Daegu FC,Paju Citizen,K League 2,05-06-2026 10:30,finished,1:0,66.8,20.5,12.7,307,110,2,-108,1,2,1,0,0,0,0.25,,,,9693,0,0,0,0,0,0,,,
2026-06-05,4729895,Harold Mayot,Eliakim Coulibaly,Centurion,05-06-2026 11:00,finished,2:0,65.4,1.9,32.7,52,1,0,,1,1,1,0,1,1,0.3333,0.0,0.3333,,,0,0,0,0,0,0,,,
2026-06-05,4731243,Gille S./Verbeek S.,Duda F./Latinovic S.,Perugia,05-06-2026 11:09,finished,2:0,60.0,20.0,20.0,5,0,0,,1,1,1,0,1,1,0.3333,0.0,0.3333,,,0,0,0,0,0,0,,,
2026-06-05,4731301,Chandrasekar A./Yuzuki T.,Hidalgo D./Trhac P.,Birmingham,05-06-2026 11:12,finished,2:0,20.0,20.0,60.0,5,0,0,,1,1,1,0,1,1,0.3333,0.0,0.3333,,,0,0,0,0,0,0,,,
2026-06-05,4731304,Arthur Fery,Rinky Hijikata,Birmingham,05-06-2026 11:22,finished,2:0,31.2,0.8,68.0,125,0,2,,1,1,1,0,1,1,0.3333,0.0,0.3333,,,0,0,0,0,0,0,,,
2026-06-05,4668223,Serbia (W),Poland (W),Volleyball Nations League (W),05-06-2026 11:30,finished,2:3,42.0,0.7,57.3,150,81,50,-31,0,1,1,1,1,1,0.0,0.3333,-0.3333,Nanjing Olympic Sports Center Gymnasium,,0,0,0,0,0,0,,,
2026-06-05,4728695,Tnt Tropang Giga,Barangay Ginebra,PBA Philippine Cup,05-06-2026 11:30,finished,101:94,47.6,2.4,50.0,42,0,1,,1,0,1,0,1,1,0.5,0.0,0.5,Smart Araneta Coliseum,,0,0,0,0,0,0,,,
2026-06-05,4731602,Singapore,China,Friendly International,05-06-2026 11:30,finished,1:2,25.4,16.2,58.4,790,536,1275,739,0,1,1,1,0,1,0.0,0.5,-0.5,Yishun Stadium,,1,2,1,2,0,0,,,
2026-06-05,4731280,Rebeka Masarova,Mary Stoiana,Birmingham,05-06-2026 11:33,finished,2:1,90.0,2.0,8.0,50,1,0,,1,1,1,0,1,1,0.3333,0.0,0.3333,,,0,0,0,0,0,0,,,
2026-06-05,4729812,Shanghai Sharks,Zhejiang Lions,CBA,05-06-2026 11:35,finished,103:82,73.2,0.9,25.9,112,5,3,-2,1,0,1,0,1,0,0.5,0.0,0.5,,12000,0,0,0,0,0,0,,,
2026-06-05,4716012,Al Shorta Baghdad,Al Bahri,FA Iraqi Cup,05-06-2026 12:00,finished,,74.7,10.0,15.4,1433,2965,77,-2888,2,1,0,3,1,0,0.6667,0.75,-0.0833,,,0,0,0,0,0,0,,,
2026-06-05,4716014,Al Talaba Baghdad,Karkh SC,FA Iraqi Cup,05-06-2026 12:00,finished,,67.3,12.6,20.1,462,1401,369,-1032,2,2,2,2,0,1,0.3333,0.6667,-0.3333,,,0,0,0,0,0,0,,,
2026-06-05,4716015,Al-Qassim,Al Naft,FA Iraqi Cup,05-06-2026 12:00,finished,,32.8,15.7,51.5,363,246,420,174,0,0,0,1,1,2,,0.25,,,,0,0,0,0,0,0,,,
2026-06-05,4716016,Naft Maysan,Al Zawraa Baghdad,FA Iraqi Cup,05-06-2026 12:00,finished,,18.1,11.1,70.8,1227,427,2789,2362,1,0,1,0,0,0,0.5,,,,,0,0,0,0,0,0,,,
2026-06-05,4716017,Duhok,Erbil FC,FA Iraqi Cup,05-06-2026 12:00,finished,,57.9,15.8,26.2,3075,512,1201,689,0,0,2,1,1,1,0.0,0.3333,-0.3333,,,0,0,0,0,0,0,,,
2026-06-05,4716018,Mina'a Basra,Zakho,FA Iraqi Cup,05-06-2026 12:00,finished,,20.7,14.2,65.2,1128,493,649,156,2,2,2,0,0,2,0.3333,0.0,0.3333,,,0,0,0,0,0,0,,,
2026-06-05,4716019,Quwa Al Jawiya,Karbalaa,FA Iraqi Cup,05-06-2026 12:00,finished,,79.5,8.7,11.8,2565,2930,370,-2560,1,1,1,1,1,0,0.3333,0.5,-0.1667,,,0,0,0,0,0,0,,,
2026-06-05,4731603,Hong Kong,Mongolia,Friendly International,05-06-2026 12:00,finished,2:0,68.0,15.7,16.3,607,557,174,-383,1,0,0,0,0,0,1.0,,,Hong Kong Stadium,,2,0,0,0,0,0,,,
2026-06-05,4730083,Marco Cecchinato,Timofey Skatov,Perugia,05-06-2026 12:04,finished,0:2,77.8,1.9,20.4,54,40,1,-39,0,1,1,1,1,1,0.0,0.3333,-0.3333,,,0,0,0,0,0,0,,,
2026-06-05,4730080,Chloe Paquet,Darya Astakhova,Foggia,05-06-2026 12:05,finished,0:2,65.2,4.3,30.4,23,0,0,,0,1,1,1,1,1,0.0,0.3333,-0.3333,,,0,0,0,0,0,0,,,
2026-06-05,4730079,Jung J./Uesugi K.,Serdarusic N./Vrbensky M.,Bad Rappenau,05-06-2026 12:06,finished,2:0,33.3,33.3,33.3,3,0,0,,1,1,0,0,1,,0.5,,,,,0,0,0,0,0,0,,,
2026-06-05,4731302,Azkara A./Duran T.,Montsi K./van Schalkwyk C H.,Centurion,05-06-2026 12:26,finished,2:0,66.7,16.7,16.7,6,0,0,,1,1,1,0,1,1,0.3333,0.0,0.3333,,,0,0,0,0,0,0,,,
2026-06-05,4730084,Siniakova K./Townsend T.,Dabrowski G./Stefani L.,Roland Garros - Doubles (W),05-06-2026 12:30,finished,2:0,83.0,2.1,14.9,47,0,0,,1,1,1,0,1,1,0.3333,0.0,0.3333,,,0,0,0,0,0,0,,,
2026-06-05,4730113,Liutarevich I./Pieczonka F.,Karol Drzewiecki / Piotr Matuszewski,Prostejov,05-06-2026 12:42,finished,2:0,77.8,11.1,11.1,9,0,0,,1,1,1,0,1,1,0.3333,0.0,0.3333,,,0,0,0,0,0,0,,,
2026-06-05,4714347,Hilal Alsahil Sc Port Sudan,Ahli Wad Madani,Premier League,05-06-2026 13:45,finished,,62.9,16.4,20.7,116,30,34,4,1,0,1,0,2,1,0.5,0.0,0.5,,,0,0,0,0,0,0,,,
2026-06-05,4714348,Hilal Al Fashir,Hay Al Wadi,Premier League,05-06-2026 13:45,finished,,69.5,13.6,16.9,59,43,56,13,0,0,0,0,2,0,,0.0,,,,0,0,0,0,0,0,,,
2026-06-05,4716013,Al Karma,AL Hashid Al Shaabi sc,FA Iraqi Cup,05-06-2026 14:00,finished,,65.4,9.9,24.7,798,118,1,-117,6,1,2,3,3,,0.6667,,,,,0,0,0,0,0,0,,,
2026-06-05,4729034,Piratas de Campeche,El Águila de Veracruz,LMB,05-06-2026 01:00,upcoming,3:2,42.1,1.3,56.6,76,14,16,2,0,0,1,1,1,0,0.0,0.5,-0.5,,,0,0,0,0,0,0,,,
2026-06-05,4713726,Thailand,Kuwait,Friendly International,05-06-2026 12:30,live,2:2,32.7,12.0,55.3,10832,939,3739,2800,1,1,1,0,0,2,0.3333,0.0,0.3333,BG Stadium,5420,2,2,2,0,0,0,,,
2026-06-05,4730099,Oleksandriya,Livyi Bereg,Premier League,05-06-2026 12:30,live,1:1,60.2,22.3,17.5,382,118,1,-117,2,1,0,1,1,2,0.6667,0.25,0.4167,CSC Nika,,1,1,3,1,0,0,,,
2026-06-05,4729826,Jakub Mensik,Alexander Zverev,Roland Garros - Men,05-06-2026 12:39,live,0:1,29.3,0.0,70.7,5006,58,898,840,1,1,1,1,1,1,0.3333,0.3333,0.0,COURT PHILIPPE CHATRIER,,0,0,0,0,0,0,,,
2026-06-05,4731307,Hynek Barton,Taro Daniel,Prostejov,05-06-2026 12:42,live,1:0,52.8,1.9,45.3,53,0,5,,1,1,0,1,1,1,0.5,0.3333,0.1667,,,0,0,0,0,0,0,,,
2026-06-05,4729893,Guy Den Ouden,Emilio Nava,Bad Rappenau,05-06-2026 12:46,live,1:1,14.3,1.1,84.6,91,0,2,,1,1,0,1,1,0,0.5,0.5,0.0,,,0,0,0,0,0,0,,,
2026-06-05,4731298,Kiger M./Stalder R.,Seggerman R./Winegar T.,Perugia,05-06-2026 12:53,live,0:1,33.3,33.3,33.3,3,0,0,,1,1,0,1,1,,0.5,,,,,0,0,0,0,0,0,,,
2026-06-05,4731314,Bu Yunchaokete,Mark Lajal,Birmingham,05-06-2026 12:59,live,1:0,53.7,1.2,45.1,82,1,1,0,1,1,0,1,1,0,0.5,0.5,0.0,,,0,0,0,0,0,0,,,
2026-06-05,4711779,Indonesia,Oman,Friendly International,05-06-2026 13:00,live,2:0,28.1,13.6,58.3,7681,768,2831,2063,0,1,0,1,2,0,0.0,0.3333,-0.3333,Gelora Bung Karno Stadium,,2,0,1,0,0,0,,,
2026-06-05,4727375,3 de Febrero F.B.C.,Club Silvio Pettirossi,APF Primera B,05-06-2026 13:00,live,0:1,40.9,20.5,38.6,44,0,0,,0,1,0,1,2,0,0.0,0.3333,-0.3333,,,0,0,0,0,0,0,,,
2026-06-05,4728850,Colombia U19,China U20,Maurice Revello Tournament,05-06-2026 13:00,live,0:1,67.5,11.2,21.2,160,108,4,-104,0,0,,1,0,0,,1.0,,,,0,0,0,0,0,0,,,
2026-06-05,4731297,Nikola Bartunkova,Mika Stojsavljevic,Birmingham,05-06-2026 13:22,live,1:0,92.7,1.8,5.5,55,0,0,,1,1,0,1,1,1,0.5,0.3333,0.1667,,,0,0,0,0,0,0,,,
2026-06-05,4617996,Georgia (W),Faroe Islands (W),UEFA Women WC Qualifiers,05-06-2026 13:30,live,1:0,57.0,23.0,20.0,300,6,2,-4,0,0,1,1,0,0,0.0,1.0,-1.0,,,0,0,0,0,0,0,,,
2026-06-05,4678185,Romania (W),Latvia (W),European League (W),05-06-2026 13:30,live,0:1,85.7,7.1,7.1,14,5,1,-4,1,1,1,0,0,0,0.3333,,,,,0,0,0,0,0,0,,,
2026-06-05,4731299,Mansouri S./Poljak D.,Karol M./Paulson A.,Prostejov,05-06-2026 13:34,live,0:1,71.4,14.3,14.3,7,0,0,,1,1,,1,1,0,,0.5,,,,0,0,0,0,0,0,,,
2026-06-05,4731604,Gibson T./Tjen J.,Dart / Lumsden,Birmingham,05-06-2026 13:47,live,1:0,33.3,33.3,33.3,3,0,0,,1,1,1,1,1,1,0.3333,0.3333,0.0,,,0,0,0,0,0,0,,,
2026-06-05,4730077,Nikolas Sanchez-Izquierdo,Lautaro Midon,Prostejov,05-06-2026 13:50,upcoming,,35.2,1.9,63.0,54,0,0,,1,1,0,1,1,0,0.5,0.5,0.0,,,0,0,0,0,0,0,,,
2026-06-05,4730085,Aoyama S./Liang E.,Danilina A./Krunic A.,Roland Garros - Doubles (W),05-06-2026 13:59,live,0:0,41.3,2.2,56.5,46,0,0,,1,1,1,1,1,1,0.3333,0.3333,0.0,,,0,0,0,0,0,0,,,
2026-06-05,4617976,Azerbaijan (W),Hungary (W),UEFA Women WC Qualifiers,05-06-2026 14:00,live,0:0,35.1,17.7,47.2,248,3,8,5,1,1,0,1,1,1,0.5,0.3333,0.1667,,,0,0,0,0,0,0,,,
2026-06-05,4617977,Armenia (W),Kazakhstan (W),UEFA Women WC Qualifiers,05-06-2026 14:00,live,0:0,40.9,18.8,40.3,186,2,5,3,0,0,2,1,0,1,0.0,0.5,-0.5,,,0,0,0,0,0,0,,,
2026-06-05,4617979,Slovakia (W),Finland (W),UEFA Women WC Qualifiers,05-06-2026 14:00,live,0:0,34.8,19.4,45.8,155,6,14,8,0,0,0,1,1,1,,0.3333,,,,0,0,0,0,0,0,,,
2026-06-05,4676752,Sweden (W),Azerbaijan (W),European League (W),05-06-2026 14:00,live,0:0,77.8,5.6,16.7,18,5,3,-2,1,0,1,0,0,0,0.5,,,,,0,0,0,0,0,0,,,
2026-06-05,4729757,Belarus U21,Kazakhstan U21,U21 Friendly International,05-06-2026 14:00,live,1:0,51.9,20.2,27.9,129,58,34,-24,0,0,0,0,0,2,,0.0,,,,0,0,0,0,0,0,,,
2026-06-05,4729944,Ruehl T./Veldheer M.,Squire H./Wiskandt M.,Bad Rappenau,05-06-2026 14:00,upcoming,,60.0,20.0,20.0,5,0,0,,1,0,1,1,,,0.5,,,,,0,0,0,0,0,0,,,
2026-06-05,4731328,Liam Draxl,Braden Shick,Tyler,05-06-2026 14:00,upcoming,,87.1,3.2,9.7,31,0,0,,1,0,1,1,1,1,0.5,0.3333,0.1667,,,0,0,0,0,0,0,,,
