date,game_id,home,away,competition,time,status,score,vote_home,vote_draw,vote_away,vote_count,pop_rank_home,pop_rank_away,pop_rank_diff,fifa_rank_home,fifa_rank_away,fifa_rank_diff,trend_home_w,trend_home_d,trend_home_l,trend_away_w,trend_away_d,trend_away_l,trend_win_rate_home,trend_win_rate_away,trend_win_rate_diff,venue,attendance,goals_home,goals_away,yellow_home,yellow_away,red_home,red_away,has_lineups,lineups_status_text,has_doubtful,has_missing_players,has_statistics,has_news,has_buzz,social_comments,score_ht,winner
2026-06-16,4669783,Londrina,Avai,Brasileirão - Série B,16-06-2026 00:00,finished,3:2,35.3,25.7,39.1,3440,1221,2576,1355,,,,1,0,0,0,0,5,1.0,0.0,1.0,,,0,0,0,0,0,0,True,Lineups,False,False,True,False,True,0,1:1,home
2026-06-16,4728909,Ario Eslamshahr,Naft Bandar Abbas,Division 1,16-06-2026 14:30,finished,,55.8,24.7,19.5,77,0,0,,,,,2,2,2,1,2,1,0.3333,0.25,0.0833,,,0,0,0,0,0,0,False,,False,False,False,False,False,0,,draw
2026-06-16,4697757,Always Ready,Universitario de Vinto,División Profesional,16-06-2026 19:00,finished,,62.3,19.5,18.2,77,564,97,-467,,,,1,0,0,0,1,1,1.0,0.0,1.0,,,0,0,0,0,0,0,False,,False,False,False,False,False,0,,draw
2026-06-16,4669784,Criciúma,Ceara,Brasileirão - Série B,16-06-2026 00:00,live,1:1,41.2,21.3,37.5,4162,2085,4740,2655,,,,1,1,2,1,0,0,0.25,1.0,-0.75,,,0,0,0,0,0,0,True,Lineups,False,False,True,False,True,0,1:0,draw
2026-06-16,4627902,Iran,New Zealand,FIFA World Cup,16-06-2026 01:00,live,1:1,59.4,13.5,27.0,92764,3593,563,-3030,20,85,65,1,1,1,0,0,1,0.3333,0.0,0.3333,SoFi Stadium (Los Angeles),,1,1,0,0,0,0,True,Lineups,False,True,True,True,True,0,1:1,draw
2026-06-16,4704220,Ethio Electric,Mekelle Kenema,Premier League,16-06-2026 10:00,upcoming,,42.1,21.1,36.8,38,1,51,50,,,,2,0,1,2,1,2,0.6667,0.4,0.2667,,,0,0,0,0,0,0,False,,False,False,False,False,False,0,,draw
2026-06-16,4655091,Al Ahed,Al Hikma,Premier League,16-06-2026 13:00,upcoming,,67.9,17.0,15.1,53,321,11,-310,,,,0,2,0,1,1,3,0.0,0.2,-0.2,,,0,0,0,0,0,0,False,,False,False,False,False,False,0,,draw
2026-06-16,4539959,Namungo FC,Tabora United,Ligi Kuu Bara,16-06-2026 13:00,upcoming,,38.9,27.8,33.3,36,16,2,-14,,,,2,0,2,1,0,1,0.5,0.5,0.0,,,0,0,0,0,0,0,False,,False,False,False,False,False,0,,draw
2026-06-16,4655090,Tadamon,Al Mabarrah,Premier League,16-06-2026 13:00,upcoming,,28.6,37.1,34.3,35,44,7,-37,,,,0,2,2,1,0,1,0.0,0.5,-0.5,,,0,0,0,0,0,0,False,,False,False,False,False,False,0,,draw
2026-06-16,4655092,Shabab Al Sahel,Racing,Premier League,16-06-2026 13:00,upcoming,,71.1,15.8,13.2,38,48,58,10,,,,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,False,,False,False,False,False,False,0,,draw
2026-06-16,4703524,Bahir Dar Kenema,Welayta Dicha,Premier League,16-06-2026 13:00,upcoming,,46.9,25.0,28.1,32,20,24,4,,,,2,2,1,2,2,2,0.4,0.3333,0.0667,,,0,0,0,0,0,0,False,,False,False,False,False,False,0,,draw
2026-06-16,4728914,Shahrdari Noshahr,Navad Urmia,Division 1,16-06-2026 13:30,upcoming,,49.3,28.0,22.7,150,0,1,,,,,0,2,0,0,0,2,0.0,0.0,0.0,,,0,0,0,0,0,0,False,,False,False,False,False,False,0,,draw
2026-06-16,4737929,Barkchi Gissar,Parvoz,Vysshaya Liga,16-06-2026 13:30,upcoming,,50.0,25.0,25.0,16,0,2,,,,,1,0,0,1,0,2,1.0,0.3333,0.6667,,,0,0,0,0,0,0,False,,False,False,False,False,False,0,,draw
2026-06-16,4663518,BFC Daugavpils,Super Nova,Virsliga,16-06-2026 15:00,upcoming,,42.6,32.4,25.0,68,19,3,-16,,,,2,2,0,0,0,0,0.5,,,,,0,0,0,0,0,0,False,,False,False,False,False,False,0,,draw
2026-06-16,4728908,Shenavarsazi Qeshm,Damash Gilan,Division 1,16-06-2026 16:00,upcoming,,38.6,27.3,34.1,44,0,5,,,,,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,False,,False,False,False,False,False,0,,draw
2026-06-16,4647064,Azam FC,Mashujaa Fc,Ligi Kuu Bara,16-06-2026 16:00,upcoming,,51.8,25.0,23.2,56,163,2,-161,,,,1,1,1,0,0,2,0.3333,0.0,0.3333,,,0,0,0,0,0,0,False,,False,False,False,False,False,0,,draw
2026-06-16,4657732,Dila Gori,Spaeri FC,Erovnuli Liga,16-06-2026 16:00,upcoming,,56.5,24.7,18.8,85,89,13,-76,,,,0,0,0,2,0,1,,0.6667,,,,0,0,0,0,0,0,False,,False,False,False,False,False,0,,draw
2026-06-16,4661082,Kuressaare,Trans Narva,Meistriliiga,16-06-2026 16:00,upcoming,,48.6,29.2,22.2,72,6,15,9,,,,1,2,1,0,0,1,0.25,0.0,0.25,,,0,0,0,0,0,0,False,,False,False,False,False,False,0,,draw
2026-06-16,4661083,Pärnu JK Vaprus,Flora Tallinn,Meistriliiga,16-06-2026 16:00,upcoming,,21.9,21.1,57.0,114,6,447,441,,,,2,1,0,0,1,1,0.6667,0.0,0.6667,,,0,0,0,0,0,0,False,,False,False,False,False,False,0,,draw
2026-06-16,4663517,Grobiņa,FK Liepaja,Virsliga,16-06-2026 16:00,upcoming,,19.2,26.9,53.8,78,2,80,78,,,,0,0,2,1,1,2,0.0,0.25,-0.25,,,0,0,0,0,0,0,False,,False,False,False,False,False,0,,draw
2026-06-16,4736985,Kuwait SC,Fahaheel SC,Premier Division,16-06-2026 16:05,upcoming,,73.5,15.1,11.4,411,848,72,-776,,,,2,1,2,0,0,1,0.4,0.0,0.4,,,0,0,0,0,0,0,False,,False,False,False,False,False,0,,draw
2026-06-16,4640797,IFK Varnamo,Helsingborg,Superettan,16-06-2026 17:00,upcoming,,47.7,30.0,22.3,130,14,72,58,,,,0,0,0,0,0,1,,0.0,,,,0,0,0,0,0,0,False,,False,False,False,False,False,0,,draw
2026-06-16,4643498,Landskrona Bois,United Nordic,Superettan,16-06-2026 17:00,upcoming,,46.4,30.4,23.2,112,8,0,,,,,1,2,1,2,1,1,0.25,0.5,-0.25,,,0,0,0,0,0,0,False,,False,False,False,False,False,0,,draw
2026-06-16,4671804,Athletico-PR Youth,Cruzeiro/MG Youth,Brasileiro U20,16-06-2026 18:00,upcoming,,20.6,17.6,61.8,102,183,345,162,,,,0,1,0,1,1,2,0.0,0.25,-0.25,,,0,0,0,0,0,0,False,,False,False,False,False,False,0,,draw
2026-06-16,4671805,América/Mg Youth,Santos/Sp Youth,Brasileiro U20,16-06-2026 18:00,upcoming,,9.3,28.9,61.9,97,171,702,531,,,,1,2,0,1,2,1,0.3333,0.25,0.0833,,,0,0,0,0,0,0,False,,False,False,False,False,False,0,,draw
