date,game_id,home,away,competition,time,status,score,vote_home,vote_draw,vote_away,vote_count,pop_rank_home,pop_rank_away,pop_rank_diff,fifa_rank_home,fifa_rank_away,fifa_rank_diff,trend_home_w,trend_home_d,trend_home_l,trend_away_w,trend_away_d,trend_away_l,trend_win_rate_home,trend_win_rate_away,trend_win_rate_diff,venue,attendance,goals_home,goals_away,yellow_home,yellow_away,red_home,red_away,has_lineups,lineups_status_text,has_doubtful,has_missing_players,has_statistics,has_news,has_buzz,social_comments
2026-06-12,4688955,Capitanes De Arecibo,Santeros de Aguada,BSN,12-06-2026 00:00,finished,90:99,63.2,2.6,34.2,38,3,0,,,,,0,0,0,1,1,0,,0.5,,,,0,0,0,0,0,0,True,Box Score,False,False,True,False,False,0
2026-06-12,4691656,Cangrejeros,Indios De Mayaguez,BSN,12-06-2026 00:00,finished,98:93,61.3,3.2,35.5,31,0,0,,,,,1,0,0,0,1,0,1.0,0.0,1.0,,,0,0,0,0,0,0,True,Box Score,False,False,True,False,False,0
2026-06-12,4728255,Carolina Hurricanes,Vegas Golden Knights,NHL,12-06-2026 00:00,finished,4:2,63.1,0.1,36.7,689,58,52,-6,,,,1,1,0,0,0,1,0.5,0.0,0.5,Lenovo Center,,4,2,0,0,3,4,True,Box Score,False,True,True,True,True,0
2026-06-12,4730095,Gimnasia y Esgrima (CR),Quimsa,Liga Nacional,12-06-2026 00:00,finished,76:59,59.5,0.9,39.6,111,24,22,-2,,,,1,1,1,0,0,0,0.3333,,,,,0,0,0,0,0,0,True,Box Score,False,False,True,False,True,0
2026-06-12,4731621,San Lorenzo (W),Instituto San Gregorio (W),Alcides Márquez Cup (W),12-06-2026 00:00,finished,3:0,62.5,12.5,25.0,8,0,0,,,,,0,0,1,0,1,0,0.0,0.0,0.0,,,0,0,0,0,0,0,False,,False,False,False,False,False,0
2026-06-12,4733395,Club Belgrano San Nicolás,Ciudad de Campana,Liga Federal,12-06-2026 00:00,finished,99:75,71.4,14.3,14.3,7,0,0,,,,,1,0,1,0,1,0,0.5,0.0,0.5,,,0,0,0,0,0,0,False,,False,False,False,False,False,0
2026-06-12,4729778,Argentinos Juniors,Asociación Alemana de Quilmes,Liga de Honor Oro,12-06-2026 00:15,finished,21:19,68.2,22.7,9.1,22,0,0,,,,,0,1,1,1,0,1,0.0,0.5,-0.5,,,0,0,0,0,0,0,False,,False,False,False,False,False,0
2026-06-12,4734753,Collarini A./Kicker N.,Cardozo J A./de la Fuente S.,San Miguel de Tucuman,12-06-2026 00:20,finished,0:0,75.0,12.5,12.5,8,0,0,,,,,1,0,0,1,2,1,1.0,0.25,0.75,,,0,0,0,0,0,0,False,,False,False,True,False,False,0
2026-06-12,4697663,Universitario De La Plata (W),Lanus (W),Superiores Primera (W),12-06-2026 00:25,finished,3:2,60.0,20.0,20.0,5,0,0,,,,,0,1,1,1,1,1,0.0,0.3333,-0.3333,,,0,0,0,0,0,0,False,,False,False,False,False,False,0
2026-06-12,4727952,Winnipeg Blue Bombers,Hamilton Tiger-Cats,CFL,12-06-2026 00:30,finished,27:37,59.1,2.3,38.6,44,12,10,-2,,,,0,1,0,1,0,1,0.0,0.5,-0.5,,,0,0,0,0,0,0,False,,False,False,False,True,False,0
2026-06-12,4659716,Dallas Wings,Phoenix Mercury,WNBA,12-06-2026 01:00,finished,85:70,75.8,0.5,23.6,182,17,61,44,,,,1,0,1,0,0,1,0.5,0.0,0.5,College Park Center,6251,0,0,0,0,0,0,True,Box Score,True,True,True,True,True,0
2026-06-12,4726312,Vietnam (W),Kazakhstan (W),AVC Women's Cup,12-06-2026 01:00,finished,2:3,77.8,3.7,18.5,27,6,15,9,,,,1,1,1,1,1,1,0.3333,0.3333,0.0,,,0,0,0,0,0,0,True,Box Score,False,False,True,False,False,0
2026-06-12,4733650,Conspiradores de Querétaro,Algodoneros del Unión Laguna,LMB,12-06-2026 01:00,finished,11:6,46.4,1.0,52.6,97,2,20,18,,,,1,1,0,0,0,1,0.5,0.0,0.5,,,0,0,0,0,0,0,False,,False,False,False,False,True,0
2026-06-12,4733653,Pericos de Puebla,Saraperos de Saltillo,LMB,12-06-2026 01:00,finished,7:0,81.9,0.8,17.3,127,40,31,-9,,,,1,0,1,0,1,0,0.5,0.0,0.5,,,0,0,0,0,0,0,False,,False,False,False,False,True,0
2026-06-12,4733656,El Águila de Veracruz,Toros de Tijuana,LMB,12-06-2026 01:00,finished,0:6,17.4,0.6,81.9,155,16,20,4,,,,0,0,1,1,1,0,0.0,0.5,-0.5,,,0,0,0,0,0,0,False,,False,False,False,False,True,0
2026-06-12,4733675,Dorados de Chihuahua,Piratas de Campeche,LMB,12-06-2026 01:00,finished,10:1,43.7,1.4,54.9,71,6,14,8,,,,1,0,1,0,1,0,0.5,0.0,0.5,,,0,0,0,0,0,0,False,,False,False,False,False,True,0
2026-06-12,4734739,Ahuachapan,Metapan BC,Liga Mayor,12-06-2026 01:15,finished,77:105,50.0,8.3,41.7,12,0,0,,,,,0,1,0,1,1,1,0.0,0.3333,-0.3333,,,0,0,0,0,0,0,False,,False,False,False,False,False,0
2026-06-12,4734740,Salvadorenos,Santa Tecla IMDELS,Liga Mayor,12-06-2026 01:15,finished,75:68,41.7,8.3,50.0,12,0,0,,,,,1,0,0,0,1,1,1.0,0.0,1.0,,,0,0,0,0,0,0,False,,False,False,False,False,False,0
2026-06-12,4733659,Leones de Yucatán,Rieleros de Aguascalientes,LMB,12-06-2026 01:30,finished,,38.4,1.4,60.3,73,28,15,-13,,,,1,1,0,0,0,1,0.5,0.0,0.5,,,0,0,0,0,0,0,False,,False,False,False,False,True,0
2026-06-12,4733662,Olmecas de Tabasco,Caliente de Durango,LMB,12-06-2026 01:30,finished,4:7,77.7,1.0,21.4,103,14,7,-7,,,,0,1,1,1,0,0,0.0,1.0,-1.0,,,0,0,0,0,0,0,False,,False,False,False,False,True,0
2026-06-12,4733665,Bravos de León,Tecos de los Dos Laredos,LMB,12-06-2026 01:30,finished,6:2,73.1,1.0,26.0,104,8,6,-2,,,,1,1,0,0,0,1,0.5,0.0,0.5,,,0,0,0,0,0,0,False,,False,False,False,False,True,0
2026-06-12,4733672,Acereros de Monclova,Diablos Rojos del México,LMB,12-06-2026 01:45,finished,4:11,18.5,0.7,80.8,146,14,34,20,,,,0,0,1,1,1,0,0.0,0.5,-0.5,,,0,0,0,0,0,0,False,,False,False,False,False,True,0
2026-06-12,4659718,Portland Fire,Las Vegas Aces,WNBA,12-06-2026 02:00,finished,89:105,30.1,0.6,69.4,173,0,21,,,,,0,0,0,1,1,1,,0.3333,,Moda Center,13178,0,0,0,0,0,0,True,Box Score,True,True,True,True,True,0
2026-06-12,4697696,South Korea,Czechia,FIFA World Cup,12-06-2026 02:00,finished,2:1,68.1,13.4,18.5,142584,4235,3071,-1164,25,40,15,1,1,1,0,1,1,0.3333,0.0,0.3333,Estadio AKRON (Guadalajara),44985,2,1,1,0,0,0,True,Lineups,False,False,True,True,True,0
2026-06-12,4733193,Colegio de Abogados Seminario,Limon Sharks,Costa Rica Championship,12-06-2026 02:00,finished,83:91,76.9,3.8,19.2,26,0,0,,,,,0,1,1,1,0,0,0.0,1.0,-1.0,,,0,0,0,0,0,0,False,,False,False,False,False,False,0
2026-06-12,4732858,Frayles De Guasave,Halcones De Obregon,CIBACOPA,12-06-2026 02:45,finished,101:81,61.9,4.8,33.3,21,0,0,,,,,1,1,1,0,0,0,0.3333,,,,,0,0,0,0,0,0,True,Box Score,False,False,True,False,False,0
2026-06-12,4726293,Iran (W),Hong Kong (W),AVC Women's Cup,12-06-2026 04:00,finished,3:0,81.0,4.8,14.3,21,2,1,-1,,,,0,1,0,0,1,0,0.0,0.0,0.0,,892,0,0,0,0,0,0,True,Box Score,False,False,True,False,False,0
2026-06-12,4734699,Auger-Aliassime F./Shapovalov D.,Griekspoor T./Van De Zandschulp B.,Hertogenbosch,12-06-2026 09:00,finished,0:0,60.0,20.0,20.0,5,0,0,,,,,1,0,1,1,0,0,0.5,1.0,-0.5,,,0,0,0,0,0,0,False,,False,False,False,False,False,0
2026-06-12,4710243,Al Tadamun Hadramaut,Mukallah FC,Yemeni League,12-06-2026 12:45,finished,,59.5,7.0,33.5,257,11,0,,,,,1,1,0,1,1,1,0.5,0.3333,0.1667,,,0,0,0,0,0,0,False,,False,False,False,False,False,0
2026-06-12,4726299,Uzbekistan (W),Australia (W),AVC Women's Cup,12-06-2026 07:00,live,1:1,31.2,6.2,62.5,16,0,2,,,,,1,0,0,0,1,0,1.0,0.0,1.0,,,0,0,0,0,0,0,True,Box Score,False,False,True,False,False,0
2026-06-12,4736499,Dunedin Thunder,Canterbury Red Devils,NZIHL,12-06-2026 07:00,live,2:1,57.1,14.3,28.6,7,0,0,,,,,1,0,0,1,0,1,1.0,0.5,0.5,,,0,0,0,0,0,0,False,,False,False,False,False,False,0
2026-06-12,4638532,Taranaki Mountainairs,Whai Tauranga,NBL,12-06-2026 07:30,live,25:23,44.4,2.8,52.8,36,0,0,,,,,0,0,0,1,1,0,,0.5,,,,0,0,0,0,0,0,True,Box Score,False,False,True,False,False,0
2026-06-12,4668196,Ukraine,Cuba,Volleyball Nations League,12-06-2026 08:30,upcoming,,44.9,0.4,54.6,227,54,151,97,,,,1,0,1,0,0,1,0.5,0.0,0.5,Linxia Olympic Sports Park Stadium,,0,0,0,0,0,0,False,,False,False,False,False,False,0
2026-06-12,4735957,Dali Blanch,David Jorda Sanchis,Lyon,12-06-2026 08:30,upcoming,,55.9,2.9,41.2,34,0,0,,,,,1,1,0,1,1,0,0.5,0.5,0.0,,,0,0,0,0,0,0,False,,False,False,False,False,False,0
2026-06-12,4626744,Rakuten Gold Eagles,Hiroshima Toyo Carp,NPB,12-06-2026 09:00,upcoming,,63.5,1.9,34.6,52,6,11,5,,,,1,0,0,0,0,0,1.0,,,,,0,0,0,0,0,0,False,,False,False,False,False,False,0
2026-06-12,4626746,Orix Buffaloes,Hanshin Tigers,NPB,12-06-2026 09:00,upcoming,,58.2,1.8,40.0,55,5,14,9,,,,1,1,1,0,0,0,0.3333,,,,,0,0,0,0,0,0,False,,False,False,False,False,False,0
2026-06-12,4626758,Fukuoka Hawks,Yakult Swallows,NPB,12-06-2026 09:00,upcoming,,93.0,1.8,5.3,57,6,8,2,,,,1,1,1,0,0,0,0.3333,,,,,0,0,0,0,0,0,False,,False,False,False,False,False,0
2026-06-12,4626777,Seibu Lions,Yomiuri Giants,NPB,12-06-2026 09:00,upcoming,,72.9,1.7,25.4,59,5,14,9,,,,1,1,1,0,1,1,0.3333,0.0,0.3333,,,0,0,0,0,0,0,False,,False,False,False,False,False,0
2026-06-12,4627039,Chiba Lotte Marines,Yokohama Baystars,NPB,12-06-2026 09:00,upcoming,,72.7,2.3,25.0,44,5,6,1,,,,1,0,1,0,0,0,0.5,,,,,0,0,0,0,0,0,False,,False,False,False,False,False,0
2026-06-12,4627150,Nippon Ham Fighters,Chunichi Dragons,NPB,12-06-2026 09:00,upcoming,,76.0,2.0,22.0,50,11,6,-5,,,,1,1,1,0,1,0,0.3333,0.0,0.3333,,,0,0,0,0,0,0,False,,False,False,False,False,False,0
2026-06-12,4734763,Giovanni Mpetshi Perricard,Alexander Bublik,Stuttgart,12-06-2026 09:00,upcoming,,25.8,0.2,74.0,523,5,111,106,,,,1,1,0,1,0,0,0.5,1.0,-0.5,CENTER COURT,,0,0,0,0,0,0,False,,False,False,False,False,False,0
2026-06-12,4735951,Arends S./Pel D.,Diallo G./Hurkacz H.,Hertogenbosch,12-06-2026 09:00,upcoming,,57.7,3.8,38.5,26,0,0,,,,,1,0,1,1,,,0.5,,,,,0,0,0,0,0,0,False,,False,False,False,False,False,0
2026-06-12,4735983,Barbora Krejcikova,Elena Gabriela Ruse,Hertogenbosch,12-06-2026 09:00,upcoming,,79.8,1.1,19.1,94,53,1,-52,,,,1,1,0,1,1,0,0.5,0.5,0.0,,,0,0,0,0,0,0,False,,False,False,False,False,False,0
2026-06-12,4735996,Zhizhen Zhang,Adrian Mannarino,Hertogenbosch,12-06-2026 09:00,upcoming,,35.4,0.3,64.3,308,3,98,95,,,,1,1,0,1,1,0,0.5,0.5,0.0,COURT 1,,0,0,0,0,0,0,False,,False,False,False,False,False,0
2026-06-12,4736002,Neel I./Olmos G.,Haverlag I./Lumsden M.,Hertogenbosch,12-06-2026 09:00,upcoming,,66.7,16.7,16.7,6,0,0,,,,,1,,,1,0,0,,1.0,,,,0,0,0,0,0,0,False,,False,False,False,False,False,0
2026-06-12,4736003,Jesper De Jong,Marco Cecchinato,Cattolica,12-06-2026 09:00,upcoming,,74.4,2.3,23.3,43,2,40,38,,,,1,1,0,1,1,0,0.5,0.5,0.0,,,0,0,0,0,0,0,False,,False,False,False,False,False,0
2026-06-12,4736015,Pavlasek A./Rikl P.,Bergs Z./Rinderknech A.,Hertogenbosch,12-06-2026 09:00,upcoming,,63.6,9.1,27.3,11,0,0,,,,,1,1,0,1,1,,0.5,,,,,0,0,0,0,0,0,False,,False,False,False,False,False,0
