date,game_id,home,away,competition,time,status,score,vote_home,vote_draw,vote_away,vote_count,pop_rank_home,pop_rank_away,pop_rank_diff,fifa_rank_home,fifa_rank_away,fifa_rank_diff,trend_home_w,trend_home_d,trend_home_l,trend_away_w,trend_away_d,trend_away_l,trend_win_rate_home,trend_win_rate_away,trend_win_rate_diff,venue,attendance,goals_home,goals_away,yellow_home,yellow_away,red_home,red_away,has_lineups,lineups_status_text,has_doubtful,has_missing_players,has_statistics,has_news,has_buzz,social_comments
2026-06-10,4659710,Minnesota Lynx,Dallas Wings,WNBA,10-06-2026 00:00,finished,100:76,76.5,0.4,23.0,226,63,17,-46,,,,1,1,1,0,1,1,0.3333,0.0,0.3333,Target Center,10907,0,0,0,0,0,0,True,Box Score,True,True,True,True,True,0
2026-06-10,4677430,San Antonio,LDU Portoviejo,Serie B,10-06-2026 00:00,finished,4:2,37.3,19.4,43.3,706,9,109,100,,,,1,2,0,0,1,1,0.3333,0.0,0.3333,,,0,0,0,0,0,0,False,,False,False,True,False,False,0
2026-06-10,4688954,Vaqueros De Bayamon,Capitanes De Arecibo,BSN,10-06-2026 00:00,finished,105:63,59.0,2.6,38.5,39,2,3,1,,,,1,1,0,0,0,0,0.5,,,,,0,0,0,0,0,0,True,Box Score,False,False,True,False,False,0
2026-06-10,4691653,Pirates De Quebradillas,Leones De Ponce,BSN,10-06-2026 00:00,finished,90:84,48.6,2.9,48.6,35,1,1,0,,,,1,0,0,0,1,1,1.0,0.0,1.0,,,0,0,0,0,0,0,True,Box Score,False,False,True,False,False,0
2026-06-10,4728253,Vegas Golden Knights,Carolina Hurricanes,NHL,10-06-2026 00:00,finished,3:5,59.1,0.2,40.7,585,52,57,5,,,,0,1,0,1,0,1,0.0,0.5,-0.5,T-Mobile Arena,,3,5,0,0,4,4,True,Box Score,False,True,True,True,True,0
2026-06-10,4733282,Titanes Del Licey,Héroes de Moca,LNB,10-06-2026 00:00,finished,91:77,50.0,5.6,44.4,18,0,0,,,,,1,0,0,0,0,0,1.0,,,,,0,0,0,0,0,0,False,,False,False,False,False,False,0
2026-06-10,4733372,El Carmen Básquet,Montmartre,Liga Federal,10-06-2026 00:00,finished,82:75,33.3,16.7,50.0,6,0,0,,,,,0,1,1,1,0,1,0.0,0.5,-0.5,,,0,0,0,0,0,0,False,,False,False,False,False,False,0
2026-06-10,4733373,Independiente De General Pico,Estudiantes Olavarría,Liga Federal,10-06-2026 00:00,finished,87:86,33.3,33.3,33.3,3,0,0,,,,,1,0,0,0,0,1,1.0,0.0,1.0,,,0,0,0,0,0,0,False,,False,False,False,False,False,0
2026-06-10,4733374,Club Capri,San Lorenzo Monte Caseros,Liga Federal,10-06-2026 00:00,finished,95:57,20.0,20.0,60.0,5,0,0,,,,,1,1,1,1,1,0,0.3333,0.5,-0.1667,,,0,0,0,0,0,0,False,,False,False,False,False,False,0
2026-06-10,4733375,Don Bosco Resistencia,Bartolomé Mitre de Misiones,Liga Federal,10-06-2026 00:00,finished,71:75,25.0,25.0,50.0,4,0,0,,,,,1,0,1,1,0,0,0.5,1.0,-0.5,,,0,0,0,0,0,0,False,,False,False,False,False,False,0
