date,game_id,home,away,competition,time,status,score,vote_home,vote_draw,vote_away,vote_count,pop_rank_home,pop_rank_away,pop_rank_diff,fifa_rank_home,fifa_rank_away,fifa_rank_diff,trend_home_w,trend_home_d,trend_home_l,trend_away_w,trend_away_d,trend_away_l,trend_win_rate_home,trend_win_rate_away,trend_win_rate_diff,venue,attendance,goals_home,goals_away,yellow_home,yellow_away,red_home,red_away,has_lineups,lineups_status_text,has_doubtful,has_missing_players,has_statistics,has_news,has_buzz,social_comments,score_ht,winner
2026-06-22,4711975,O'Higgins,U. Espanola,Chilean Cup,22-06-2026 00:00,finished,1:1,59.1,18.8,22.1,1224,626,905,279,,,,2,0,2,2,2,2,0.5,0.3333,0.1667,,,0,0,0,0,0,0,True,Lineups,False,False,True,False,True,0,0:1,draw
2026-06-22,4715361,Oriente Petrolero,Nacional Potosi,División Profesional,22-06-2026 00:30,finished,,73.3,6.7,20.0,15,1056,698,-358,,,,0,2,0,0,2,0,0.0,0.0,0.0,,,0,0,0,0,0,0,False,,False,False,False,False,False,0,,draw
2026-06-22,4673028,FK Riteriai,FC Hegelmann,A Lyga,22-06-2026 16:00,finished,,20.0,40.0,40.0,5,15,18,3,,,,0,0,0,2,2,0,,0.5,,,,0,0,0,0,0,0,False,,False,False,False,False,False,0,,draw
2026-06-22,4659231,Austin Fc II,Sporting Kansas City II,MLS Next Pro,22-06-2026 00:30,live,2:0,58.2,28.4,13.5,141,3,4,1,,,,1,1,1,0,1,0,0.3333,0.0,0.3333,,,0,0,0,0,0,0,True,Lineups,False,False,True,False,False,0,2:0,draw
2026-06-22,4627901,New Zealand,Egypt,FIFA World Cup,22-06-2026 01:00,live,1:0,11.4,7.5,81.1,177718,791,15347,14556,82,29,-53,2,0,0,2,0,1,1.0,0.6667,0.3333,BC Place (Vancouver),,1,0,2,1,0,0,True,Lineups,False,False,True,True,True,0,1:0,draw
2026-06-22,4659229,Tacoma Defiance,Real Monarchs,MLS Next Pro,22-06-2026 02:00,upcoming,,42.8,27.2,30.0,180,18,14,-4,,,,1,0,1,1,0,0,0.5,1.0,-0.5,,,0,0,0,0,0,0,True,Lineups,False,False,True,False,False,0,,draw
2026-06-22,4703520,Fasil Ketema,Arba Minch Kenema,Premier League,22-06-2026 12:00,upcoming,,40.0,30.0,30.0,30,77,7,-70,,,,1,0,0,1,1,0,1.0,0.5,0.5,,,0,0,0,0,0,0,False,,False,False,False,False,False,0,,draw
2026-06-22,4704221,Welayta Dicha,Ethio Electric,Premier League,22-06-2026 12:00,upcoming,,38.1,28.6,33.3,21,25,1,-24,,,,1,2,2,2,2,0,0.2,0.5,-0.3,,,0,0,0,0,0,0,False,,False,False,False,False,False,0,,draw
2026-06-22,4655667,Merani Martvili,Gori,Erovnuli Liga 2,22-06-2026 13:00,upcoming,,46.2,34.6,19.2,26,2,0,,,,,1,0,2,2,0,0,0.3333,1.0,-0.6667,,,0,0,0,0,0,0,False,,False,False,False,False,False,0,,draw
2026-06-22,4656805,Gareji,Odishi 1919,Erovnuli Liga 2,22-06-2026 13:00,upcoming,,41.7,41.7,16.7,12,1,0,,,,,2,1,1,0,2,1,0.5,0.0,0.5,,,0,0,0,0,0,0,False,,False,False,False,False,False,0,,draw
2026-06-22,4739968,Defensor Sporting (Reserves),Deportivo Maldonado (Reserves),Reserve League,22-06-2026 13:00,upcoming,,52.9,29.4,17.6,34,1,0,,,,,1,1,2,2,0,1,0.25,0.6667,-0.4167,,,0,0,0,0,0,0,False,,False,False,False,False,False,0,,draw
2026-06-22,4655669,Kolkheti Poti,Shturmi,Erovnuli Liga 2,22-06-2026 14:00,upcoming,,22.2,55.6,22.2,18,3,0,,,,,2,2,2,2,0,0,0.3333,1.0,-0.6667,,,0,0,0,0,0,0,False,,False,False,False,False,False,0,,draw
2026-06-22,4679187,Universidad Concepción (W),Deportes Iquique (W),Championship Women,22-06-2026 14:00,upcoming,,47.1,23.5,29.4,17,1,2,1,,,,0,2,2,0,0,0,0.0,,,,,0,0,0,0,0,0,False,,False,False,False,False,False,0,,draw
2026-06-22,4657729,Dila Gori,Rustavi,Erovnuli Liga,22-06-2026 15:00,upcoming,,31.5,27.0,41.4,111,89,3,-86,,,,1,0,0,1,1,1,1.0,0.3333,0.6667,,,0,0,0,0,0,0,False,,False,False,False,False,False,0,,draw
2026-06-22,4664939,Rigas FS,Ogre United,Virsliga,22-06-2026 15:00,upcoming,,71.6,18.7,9.7,134,341,0,,,,,0,1,1,1,0,0,0.0,1.0,-1.0,,,0,0,0,0,0,0,False,,False,False,False,False,False,0,,draw
2026-06-22,4703518,Welwalo Adigrat Uni,Hadiya Hossana,Premier League,22-06-2026 15:00,upcoming,,28.6,35.7,35.7,14,1,3,2,,,,2,2,2,0,2,2,0.3333,0.0,0.3333,,,0,0,0,0,0,0,False,,False,False,False,False,False,0,,draw
2026-06-22,4655668,Kakheti Telavi,Aragvi Dusheti,Erovnuli Liga 2,22-06-2026 16:00,upcoming,,45.5,36.4,18.2,11,3,0,,,,,1,1,1,1,2,2,0.3333,0.2,0.1333,,,0,0,0,0,0,0,False,,False,False,False,False,False,0,,draw
2026-06-22,4668696,FC Elva,Flora Tallinn II,Esiliiga,22-06-2026 16:00,upcoming,,22.2,46.7,31.1,45,6,6,0,,,,0,1,0,1,1,2,0.0,0.25,-0.25,,,0,0,0,0,0,0,False,,False,False,False,False,False,0,,draw
2026-06-22,4668697,FC Maardu,Viimsi JK,Esiliiga,22-06-2026 16:00,upcoming,,22.6,41.9,35.5,31,3,2,-1,,,,1,0,2,1,0,1,0.3333,0.5,-0.1667,,,0,0,0,0,0,0,False,,False,False,False,False,False,0,,draw
2026-06-22,4739967,Boston River reserves,Oriental (Reserves),Reserve League,22-06-2026 16:00,upcoming,,57.1,33.3,9.5,21,1,0,,,,,0,0,2,0,0,1,0.0,0.0,0.0,,,0,0,0,0,0,0,False,,False,False,False,False,False,0,,draw
2026-06-22,4736980,Salmiyah SC,Fahaheel SC,Premier Division,22-06-2026 16:05,upcoming,,67.1,17.4,15.6,167,198,72,-126,,,,2,0,2,2,0,0,0.5,1.0,-0.5,,,0,0,0,0,0,0,False,,False,False,False,False,False,0,,draw
2026-06-22,4627863,Argentina,Austria,FIFA World Cup,22-06-2026 17:00,upcoming,,85.9,7.0,7.1,108020,28918,2882,-26036,1,21,20,1,1,1,1,1,1,0.3333,0.3333,0.0,AT&T Stadium (Arlington),,0,0,0,0,0,0,False,Probable Lineups,True,True,False,True,True,0,,draw
2026-06-22,4640784,Varbergs BoIS,Landskrona Bois,Superettan,22-06-2026 17:00,upcoming,,59.8,23.2,17.1,82,15,8,-7,,,,0,1,1,1,1,2,0.0,0.25,-0.25,,,0,0,0,0,0,0,False,,False,False,False,False,False,0,,draw
2026-06-22,4640786,IK Oddevold,LjungSKile SK,Superettan,22-06-2026 17:00,upcoming,,52.8,28.3,18.9,53,3,5,2,,,,1,0,0,2,2,0,1.0,0.5,0.5,,,0,0,0,0,0,0,False,,False,False,False,False,False,0,,draw
2026-06-22,4654201,Sioni Bolnisi,Samtredia,Erovnuli Liga 2,22-06-2026 17:00,upcoming,,26.7,40.0,33.3,15,6,100,94,,,,0,1,2,0,2,0,0.0,0.0,0.0,,,0,0,0,0,0,0,False,,False,False,False,False,False,0,,draw
2026-06-22,4657730,Torpedo Kutaisi,Spaeri FC,Erovnuli Liga,22-06-2026 17:00,upcoming,,51.7,33.3,15.0,60,91,13,-78,,,,0,0,0,0,2,0,,0.0,,,,0,0,0,0,0,0,False,,False,False,False,False,False,0,,draw
2026-06-22,4705572,Räppe Goif,Hässleholms IF,Svenska Cupen,22-06-2026 17:00,upcoming,,41.0,32.3,26.7,251,0,0,,,,,0,1,,0,,,,,,,,0,0,0,0,0,0,False,,False,False,False,False,False,0,,draw
