date,game_id,home,away,competition,time,status,score,vote_home,vote_draw,vote_away,vote_count,pop_rank_home,pop_rank_away,pop_rank_diff,fifa_rank_home,fifa_rank_away,fifa_rank_diff,trend_home_w,trend_home_d,trend_home_l,trend_away_w,trend_away_d,trend_away_l,trend_win_rate_home,trend_win_rate_away,trend_win_rate_diff,venue,attendance,goals_home,goals_away,yellow_home,yellow_away,red_home,red_away,has_lineups,lineups_status_text,has_doubtful,has_missing_players,has_statistics,has_news,has_buzz,social_comments,score_ht,winner
2026-06-19,4669792,Sport Recife,Atlético Goianiense,Brasileirão - Série B,19-06-2026 00:00,finished,1:1,61.6,20.7,17.6,4747,5639,2400,-3239,,,,2,2,2,2,2,1,0.3333,0.4,-0.0667,,13151,0,0,0,0,0,0,True,Lineups,False,True,True,False,True,0,1:0,draw
2026-06-19,4710251,Ittihad Hadramout FC,Wahda Sana'a,Yemeni League,19-06-2026 12:45,finished,,68.4,5.3,26.3,19,1,18,17,,,,1,0,0,1,1,1,1.0,0.3333,0.6667,,,0,0,0,0,0,0,False,,False,False,False,False,False,0,,draw
2026-06-19,4710253,Ittihad Ibb,Fahman,Yemeni League,19-06-2026 12:45,finished,,84.6,3.8,11.5,26,54,17,-37,,,,0,0,2,0,0,1,0.0,0.0,0.0,,,0,0,0,0,0,0,False,,False,False,False,False,False,0,,draw
2026-06-19,4715368,Real Potosi,GV San Jose,División Profesional,19-06-2026 21:30,finished,,25.0,25.0,50.0,4,343,47,-296,,,,2,0,0,0,0,2,1.0,0.0,1.0,,,0,0,0,0,0,0,False,,False,False,False,False,False,0,,draw
2026-06-19,4719062,Universidad de Chile,O'Higgins,First Division,19-06-2026 00:00,live,2:0,59.6,17.8,22.6,3365,2251,626,-1625,,,,2,2,1,2,1,0,0.4,0.6667,-0.2667,Nacional Julio Martinez Pradanos,,2,0,1,5,0,0,True,Lineups,False,True,True,False,True,0,1:0,draw
2026-06-19,4627854,Mexico,South Korea,FIFA World Cup,19-06-2026 01:00,live,0:0,52.0,15.0,33.0,96412,8456,4484,-3972,13,22,9,1,1,1,1,1,1,0.3333,0.3333,0.0,Estadio AKRON (Guadalajara),,0,0,0,1,0,0,True,Lineups,False,True,True,True,True,0,0:0,draw
2026-06-19,4678350,Auckland FC II,Western Springs,National League,19-06-2026 07:00,upcoming,,42.9,31.4,25.7,35,0,1,,,,,0,1,0,2,1,0,0.0,0.6667,-0.6667,,,0,0,0,0,0,0,False,,False,False,False,False,False,0,,draw
2026-06-19,4728031,Shanghai Segenda,Shanghai Port,Chinese FA Cup,19-06-2026 07:30,upcoming,,19.2,18.8,62.1,240,0,452,,,,,1,1,0,0,2,1,0.5,0.0,0.5,,,0,0,0,0,0,0,False,,False,False,False,False,False,0,,draw
2026-06-19,4715157,Shaanxi Union FC,Zhejiang,Chinese FA Cup,19-06-2026 11:00,upcoming,,28.0,34.0,38.0,100,0,112,,,,,1,0,1,1,0,1,0.5,0.5,0.0,,,0,0,0,0,0,0,False,,False,False,False,False,False,0,,draw
2026-06-19,4724570,Shenzhen Juniors FC,Shenzhen Peng City,Chinese FA Cup,19-06-2026 11:00,upcoming,,34.1,26.8,39.0,82,0,3,,,,,2,2,1,1,1,2,0.4,0.25,0.15,,,0,0,0,0,0,0,False,,False,False,False,False,False,0,,draw
2026-06-19,4724574,Guangdong GZ-Power,Beijing Guoan,Chinese FA Cup,19-06-2026 11:30,upcoming,,22.8,25.0,52.2,92,0,203,,,,,1,2,0,1,0,2,0.3333,0.3333,0.0,,,0,0,0,0,0,0,False,,False,False,False,False,False,0,,draw
2026-06-19,4726037,Jiangxi Beidamen,Henan,Chinese FA Cup,19-06-2026 11:30,upcoming,,28.8,26.0,45.2,73,1,33,32,,,,1,1,0,0,1,1,0.5,0.0,0.5,,,0,0,0,0,0,0,False,,False,False,False,False,False,0,,draw
2026-06-19,4730550,Rizhao Yuqi,Tianjin Jinmen Tiger,Chinese FA Cup,19-06-2026 11:30,upcoming,,31.1,36.1,32.8,61,0,58,,,,,1,0,0,1,2,0,1.0,0.3333,0.6667,,,0,0,0,0,0,0,False,,False,False,False,False,False,0,,draw
2026-06-19,4731580,Jableh SC,Homs Al Fidaa SC,Syrian Premier League,19-06-2026 13:00,upcoming,,32.5,12.3,55.2,154,65,70,5,,,,0,1,0,1,1,1,0.0,0.3333,-0.3333,,,0,0,0,0,0,0,False,,False,False,False,False,False,0,,draw
2026-06-19,4688520,FC Minsk II,Volna Pinsk,Pershaya Liga,19-06-2026 13:30,upcoming,,18.2,45.5,36.4,22,2,2,0,,,,0,2,0,1,1,1,0.0,0.3333,-0.3333,,,0,0,0,0,0,0,False,,False,False,False,False,False,0,,draw
2026-06-19,4731578,Jaish,Foutoua,Syrian Premier League,19-06-2026 14:00,upcoming,,36.6,15.2,48.3,145,269,67,-202,,,,2,0,0,0,0,1,1.0,0.0,1.0,,,0,0,0,0,0,0,False,,False,False,False,False,False,0,,draw
2026-06-19,4731579,Hottin,Khan Sheikhoun,Syrian Premier League,19-06-2026 14:00,upcoming,,74.7,12.1,13.2,91,72,1,-71,,,,0,1,0,2,0,1,0.0,0.6667,-0.6667,,,0,0,0,0,0,0,False,,False,False,False,False,False,0,,draw
2026-06-19,4731581,Horriya,Damascus Al Ahli Club,Syrian Premier League,19-06-2026 14:00,upcoming,,50.0,24.2,25.8,62,20,33,13,,,,0,1,0,1,2,0,0.0,0.3333,-0.3333,,,0,0,0,0,0,0,False,,False,False,False,False,False,0,,draw
2026-06-19,4731582,Al Wahda Damascus,Al Ittihad Aleppo,Syrian Premier League,19-06-2026 14:00,upcoming,,28.8,7.0,64.2,601,205,253,48,,,,1,0,1,1,1,1,0.5,0.3333,0.1667,,,0,0,0,0,0,0,False,,False,False,False,False,False,0,,draw
