date,game_id,home,away,competition,time,status,score,vote_home,vote_draw,vote_away,vote_count,pop_rank_home,pop_rank_away,pop_rank_diff,trend_home_w,trend_home_d,trend_home_l,trend_away_w,trend_away_d,trend_away_l,trend_win_rate_home,trend_win_rate_away,trend_win_rate_diff,venue,attendance,goals_home,goals_away,yellow_home,yellow_away,red_home,red_away,has_lineups,lineups_status_text,has_doubtful,has_missing_players,has_statistics,has_news,has_buzz,social_comments,fifa_rank_home,fifa_rank_away,fifa_rank_diff
2026-06-08,4659257,The Town FC,Real Monarchs,MLS Next Pro,08-06-2026 00:00,finished,3:0,45.7,27.4,26.9,208,2,14,12,1,3,0,0,0,1,0.25,0.0,0.25,,,0,0,0,0,0,0,True,Lineups,False,False,True,False,False,0,,,
2026-06-08,4691650,Capitanes De Arecibo,San German,BSN,08-06-2026 00:00,finished,99:103,56.7,3.3,40.0,30,3,0,,0,0,0,1,1,1,,0.3333,,,,0,0,0,0,0,0,True,Box Score,False,False,True,False,False,0,,,
2026-06-08,4728982,Atlético Sastre,Club Atlético Almagro De Esperanza,Liga Federal,08-06-2026 00:00,finished,80:74,50.0,16.7,33.3,6,0,0,,1,0,1,0,0,0,0.5,,,,,0,0,0,0,0,0,False,,False,False,False,False,False,0,,,
2026-06-08,4728983,Nautico Sportivo Avellaneda de Rosario,Olimpia De Venado Tuerto,Liga Federal,08-06-2026 00:00,finished,63:75,41.7,8.3,50.0,12,0,0,,0,0,0,1,0,1,,0.5,,,,0,0,0,0,0,0,False,,False,False,False,False,False,0,,,
2026-06-08,4728984,Alma Juniors,Sanjustino,Liga Federal,08-06-2026 00:00,finished,76:61,28.6,14.3,57.1,7,0,0,,1,0,1,0,0,1,0.5,0.0,0.5,,,0,0,0,0,0,0,False,,False,False,False,False,False,0,,,
2026-06-08,4728987,Argentino De Marcos Juárez,Rosario Central,Liga Federal,08-06-2026 00:00,finished,67:78,33.3,4.2,62.5,24,0,0,,0,0,0,1,1,1,,0.3333,,,,0,0,0,0,0,0,False,,False,False,False,False,False,0,,,
2026-06-08,4729750,Miramar Misiones,Oriental,Segunda Division,08-06-2026 00:00,finished,2:2,48.3,28.1,23.6,352,25,7,-18,2,1,2,2,1,0,0.4,0.6667,-0.2667,,,0,0,0,0,0,0,False,,False,False,True,False,False,0,,,
2026-06-08,4730059,Lagomar Country Club (W),Defensor Sporting Club (W),LFB (W),08-06-2026 00:00,finished,52:67,6.2,6.2,87.5,16,0,0,,0,0,1,1,1,1,0.0,0.3333,-0.3333,,,0,0,0,0,0,0,False,,False,False,False,False,False,0,,,
2026-06-08,4732844,Guerreros de Oaxaca,El Águila de Veracruz,LMB,08-06-2026 00:00,finished,3:5,74.4,1.2,24.4,82,16,16,0,0,0,1,1,1,0,0.0,0.5,-0.5,,,0,0,0,0,0,0,False,,False,False,False,False,True,0,,,
2026-06-08,4732845,Rieleros de Aguascalientes,Charros de Jalisco,LMB,08-06-2026 00:00,finished,3:2,15.2,1.0,83.8,99,15,47,32,1,0,0,0,1,1,1.0,0.0,1.0,,,0,0,0,0,0,0,False,,False,False,False,False,True,0,,,
2026-06-08,4732846,Bravos de León,Pericos de Puebla,LMB,08-06-2026 00:00,finished,3:7,60.4,0.9,38.7,111,8,40,32,0,1,1,1,0,0,0.0,1.0,-1.0,,,0,0,0,0,0,0,False,,False,False,False,False,True,0,,,
2026-06-08,4732849,Toros de Tijuana,Tecos de los Dos Laredos,LMB,08-06-2026 00:05,finished,3:0,85.6,0.7,13.7,146,20,6,-14,1,1,1,0,0,0,0.3333,,,,,0,0,0,0,0,0,False,,False,False,False,False,True,0,,,
