date,game_id,home,away,competition,time,status,score,vote_home,vote_draw,vote_away,vote_count,pop_rank_home,pop_rank_away,pop_rank_diff,fifa_rank_home,fifa_rank_away,fifa_rank_diff,trend_home_w,trend_home_d,trend_home_l,trend_away_w,trend_away_d,trend_away_l,trend_win_rate_home,trend_win_rate_away,trend_win_rate_diff,venue,attendance,goals_home,goals_away,yellow_home,yellow_away,red_home,red_away,has_lineups,lineups_status_text,has_doubtful,has_missing_players,has_statistics,has_news,has_buzz,social_comments,score_ht,winner
2026-06-30,4747697,Netherlands,Morocco,FIFA World Cup,30-06-2026 01:00,live,0:0,38.4,9.2,52.4,203555,9330,10153,823,7,6,-1,1,1,2,1,1,2,0.25,0.25,0.0,Estadio BBVA (Guadalupe),,0,0,0,0,0,0,True,Lineups,False,False,True,True,True,0,0:0,draw
2026-06-30,4742186,Ulaanbaatar,Central Stallions FC,Premier League,30-06-2026 08:00,upcoming,,60.5,15.8,23.7,38,11,0,,,,,1,1,1,2,0,0,0.3333,1.0,-0.6667,,,0,0,0,0,0,0,False,,False,False,False,False,False,0,,draw
2026-06-30,4742185,Deren,Khangarid,Premier League,30-06-2026 11:00,upcoming,,44.0,28.0,28.0,25,0,0,,,,,0,1,1,2,0,0,0.0,1.0,-1.0,,,0,0,0,0,0,0,False,,False,False,False,False,False,0,,draw
2026-06-30,4539941,Azam FC,Dodoma Jiji,Ligi Kuu Bara,30-06-2026 13:00,upcoming,,59.0,29.5,11.5,78,164,5,-159,,,,1,0,1,2,2,0,0.5,0.5,0.0,,,0,0,0,0,0,0,False,,False,False,False,False,False,0,,draw
2026-06-30,4539942,Fountain Gate,Singida Black Stars SC,Ligi Kuu Bara,30-06-2026 13:00,upcoming,,22.5,27.5,50.0,40,18,9,-9,,,,2,0,0,0,1,1,1.0,0.0,1.0,,,0,0,0,0,0,0,False,,False,False,False,False,False,0,,draw
2026-06-30,4539943,Mashujaa Fc,Tanzania Prisons,Ligi Kuu Bara,30-06-2026 13:00,upcoming,,42.3,19.2,38.5,26,2,51,49,,,,1,1,0,1,0,1,0.5,0.5,0.0,,,0,0,0,0,0,0,False,,False,False,False,False,False,0,,draw
2026-06-30,4539944,Simba SC,Kinondoni MC,Ligi Kuu Bara,30-06-2026 13:00,upcoming,,65.6,16.1,18.3,93,562,18,-544,,,,1,1,1,0,0,0,0.3333,,,,,0,0,0,0,0,0,False,,False,False,False,False,False,0,,draw
2026-06-30,4539945,Coastal Union,Pamba Jiji FC,Ligi Kuu Bara,30-06-2026 13:00,upcoming,,52.6,31.6,15.8,19,38,1,-37,,,,0,2,1,0,0,1,0.0,0.0,0.0,,,0,0,0,0,0,0,False,,False,False,False,False,False,0,,draw
2026-06-30,4539946,JKT Tanzania,Young Africans,Ligi Kuu Bara,30-06-2026 13:00,upcoming,,14.7,17.4,67.9,109,5,499,494,,,,1,2,0,1,1,1,0.3333,0.3333,0.0,,,0,0,0,0,0,0,False,,False,False,False,False,False,0,,draw
2026-06-30,4543621,Mbeya City,Tabora United,Ligi Kuu Bara,30-06-2026 13:00,upcoming,,33.3,33.3,33.3,15,30,2,-28,,,,2,1,0,0,2,2,0.6667,0.0,0.6667,,,0,0,0,0,0,0,False,,False,False,False,False,False,0,,draw
