date,game_id,home,away,competition,time,status,score,vote_home,vote_draw,vote_away,vote_count,pop_rank_home,pop_rank_away,pop_rank_diff,fifa_rank_home,fifa_rank_away,fifa_rank_diff,trend_home_w,trend_home_d,trend_home_l,trend_away_w,trend_away_d,trend_away_l,trend_win_rate_home,trend_win_rate_away,trend_win_rate_diff,venue,attendance,goals_home,goals_away,yellow_home,yellow_away,red_home,red_away,has_lineups,lineups_status_text,has_doubtful,has_missing_players,has_statistics,has_news,has_buzz,social_comments,score_ht,winner
2026-06-15,4715369,Blooming,The Strongest,División Profesional,15-06-2026 00:30,finished,,51.6,6.5,41.9,31,953,1579,626,,,,1,0,0,1,2,1,1.0,0.25,0.75,,,0,0,0,0,0,0,False,,False,False,False,False,False,0,,draw
2026-06-15,4697761,Bolívar,Guabira,División Profesional,15-06-2026 23:00,finished,,72.0,9.8,18.1,193,1744,365,-1379,,,,0,0,0,1,1,2,,0.25,,,,0,0,0,0,0,0,False,,False,False,False,False,True,0,,draw
2026-06-15,4697705,Sweden,Tunisia,FIFA World Cup,15-06-2026 02:00,live,2:1,63.4,11.5,25.1,88957,4537,7594,3057,38,45,7,2,0,1,0,0,2,0.6667,0.0,0.6667,Estadio BBVA (Guadalupe),,2,1,0,0,0,0,True,Lineups,False,False,True,True,True,0,2:1,draw
2026-06-15,4703529,Negele Arsi Ketema,Awassa Kenema,Premier League,15-06-2026 10:00,upcoming,,34.0,34.0,32.0,50,0,9,,,,,2,2,0,1,0,2,0.5,0.3333,0.1667,,,0,0,0,0,0,0,False,,False,False,False,False,False,0,,draw
2026-06-15,4703528,Arba Minch Kenema,Shire Endaselassie,Premier League,15-06-2026 12:00,upcoming,,38.7,35.5,25.8,31,7,1,-6,,,,1,0,2,2,2,1,0.3333,0.4,-0.0667,,,0,0,0,0,0,0,False,,False,False,False,False,False,0,,draw
2026-06-15,4539960,Kinondoni MC,Coastal Union,Ligi Kuu Bara,15-06-2026 13:00,upcoming,,31.2,37.5,31.2,32,18,38,20,,,,0,0,0,2,1,0,,0.6667,,,,0,0,0,0,0,0,False,,False,False,False,False,False,0,,draw
2026-06-15,4703527,Adama Kenema,Ethiopia Nigd Bank,Premier League,15-06-2026 13:00,upcoming,,41.7,29.2,29.2,24,8,26,18,,,,0,2,0,2,1,0,0.0,0.6667,-0.6667,,,0,0,0,0,0,0,False,,False,False,False,False,False,0,,draw
2026-06-15,4728914,Shahrdari Noshahr,Navad Urmia,Division 1,15-06-2026 13:30,upcoming,,58.1,25.8,16.1,31,0,1,,,,,0,2,0,0,0,2,0.0,0.0,0.0,,,0,0,0,0,0,0,False,,False,False,False,False,False,0,,draw
2026-06-15,4735937,Nacional Montevideo (Reserves),Boston River reserves,Reserve League,15-06-2026 14:00,upcoming,,56.8,18.9,24.3,37,4,1,-3,,,,2,1,1,2,0,1,0.5,0.6667,-0.1667,,,0,0,0,0,0,0,False,,False,False,False,False,False,0,,draw
2026-06-15,4735938,Juventud De Las Piedras (Reserves),Ca Progreso (Reserves),Reserve League,15-06-2026 14:00,upcoming,,59.4,18.8,21.9,32,1,0,,,,,0,1,1,2,0,0,0.0,1.0,-1.0,,,0,0,0,0,0,0,False,,False,False,False,False,False,0,,draw
